Entity,Code,Year,Mean income or consumption,"GDP per capita, PPP (constant 2011 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Brazil,BRA,2019,20.387281,,211782880.0,
Bulgaria,BGR,2019,24.534357,,7052536.0,
Canada,CAN,2019,60.61076,,37522584.0,
Chile,CHL,2019,,,19039484.0,
China,CHN,2019,13.823411,,1421864064.0,
Costa Rica,CRI,2019,23.132471,,5084527.0,
Czechia,CZE,2019,34.214203,,10536876.0,
Estonia,EST,2019,38.33881,,1327039.0,
Ethiopia,ETH,2019,,,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,50.9774,,64399760.0,
Germany,DEU,2019,58.530342,,83148144.0,
Hungary,HUN,2019,27.57846,,9771799.0,
India,IND,2019,4.3920574,,1383112064.0,
Indonesia,IDN,2019,6.9327364,,269582880.0,
Iran,IRN,2019,14.32911,,86564208.0,
Italy,ITA,2019,44.422363,,59727936.0,
Kazakhstan,KAZ,2019,,,18754260.0,
Malaysia,MYS,2019,,,32804024.0,
Maldives,MDV,2019,16.944656,,504518.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,71.6648,,5348285.0,
Oceania,,2019,,,43278474.0,
Paraguay,PRY,2019,17.729025,,6530029.0,
Portugal,PRT,2019,31.885082,,10289921.0,
Romania,ROU,2019,19.871094,,19524212.0,
Russia,RUS,2019,20.673082,,145742288.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,39.79274,,47131372.0,
Ukraine,UKR,2019,15.07378,,44211100.0,
United Kingdom,GBR,2019,50.053753,,66778660.0,
United States,USA,2019,78.804756,,334319680.0,
Vietnam,VNM,2019,,,95776712.0,
