Entity,Code,Year,Poultry | 00002029 || Stocks | 005112 || animals
Brazil,BRA,1961,135657000
Brazil,BRA,1970,204916000
Brazil,BRA,1980,448280000
Brazil,BRA,1990,557035000
Brazil,BRA,2000,856641000
Brazil,BRA,2010,1269513000
Brazil,BRA,2021,1564892000
China,CHN,1961,641000000
China,CHN,1970,778000000
China,CHN,1980,1106000000
China,CHN,1990,2419000000
China,CHN,2000,4300000000
China,CHN,2010,6312000000
China,CHN,2021,6102549000
Germany,DEU,1961,100683000
Germany,DEU,1970,141520000
Germany,DEU,1980,139306000
Germany,DEU,1990,127895000
Germany,DEU,2000,118786000
Germany,DEU,2010,128899000
Japan,JPN,1961,72229000
Japan,JPN,1970,225063000
Japan,JPN,1980,284680000
Japan,JPN,1990,337865000
Japan,JPN,2000,295795000
Japan,JPN,2010,286003000
Japan,JPN,2021,323033000
