Entity,Code,Year,15.5.1 - Red List Index - ER_RSK_LST
Austria,AUT,1993,0.9
Austria,AUT,1995,0.9
Austria,AUT,2000,0.89
Austria,AUT,2005,0.89
Austria,AUT,2010,0.89
Austria,AUT,2015,0.89
Austria,AUT,2020,0.89
Austria,AUT,2023,0.9
British Virgin Islands,VGB,1993,0.79
British Virgin Islands,VGB,1995,0.79
British Virgin Islands,VGB,2000,0.78
British Virgin Islands,VGB,2005,0.78
British Virgin Islands,VGB,2010,0.77
British Virgin Islands,VGB,2015,0.77
British Virgin Islands,VGB,2020,0.76
British Virgin Islands,VGB,2023,0.76
Denmark,DNK,1993,0.98
Denmark,DNK,1995,0.98
Denmark,DNK,2000,0.98
Denmark,DNK,2005,0.98
Denmark,DNK,2010,0.98
Denmark,DNK,2015,0.97
Denmark,DNK,2020,0.97
Denmark,DNK,2023,0.97
Greece,GRC,1993,0.84
Greece,GRC,1995,0.84
Greece,GRC,2000,0.84
Greece,GRC,2005,0.84
Greece,GRC,2010,0.84
Greece,GRC,2015,0.84
Greece,GRC,2020,0.84
Greece,GRC,2023,0.83
Liberia,LBR,1993,0.9
Liberia,LBR,1995,0.9
Liberia,LBR,2000,0.9
Liberia,LBR,2005,0.9
Liberia,LBR,2010,0.9
Liberia,LBR,2015,0.9
Liberia,LBR,2020,0.9
Liberia,LBR,2023,0.9
Oman,OMN,1993,0.95
Oman,OMN,1995,0.95
Oman,OMN,2000,0.94
Oman,OMN,2005,0.92
Oman,OMN,2010,0.91
Oman,OMN,2015,0.9
Oman,OMN,2020,0.89
Oman,OMN,2023,0.88
Puerto Rico,PRI,1993,0.75
Puerto Rico,PRI,1995,0.74
Puerto Rico,PRI,2000,0.73
Puerto Rico,PRI,2005,0.72
Puerto Rico,PRI,2010,0.7
Puerto Rico,PRI,2015,0.69
Puerto Rico,PRI,2020,0.68
Puerto Rico,PRI,2023,0.67
Reunion,REU,1993,0.72
Reunion,REU,1995,0.72
Reunion,REU,2000,0.68
Reunion,REU,2005,0.65
Reunion,REU,2010,0.63
Reunion,REU,2015,0.59
Reunion,REU,2020,0.56
Reunion,REU,2023,0.54
Switzerland,CHE,1993,0.97
Switzerland,CHE,1995,0.97
Switzerland,CHE,2000,0.97
Switzerland,CHE,2005,0.97
Switzerland,CHE,2010,0.97
Switzerland,CHE,2015,0.97
Switzerland,CHE,2020,0.97
Switzerland,CHE,2023,0.97
