Entity,Code,Year,wom_emp_vdem_owid,region
Afghanistan,AFG,2022,0.035,Asia
Africa,,2022,0.6725536,World
Asia,,2022,0.60071427,World
Azerbaijan,AZE,2022,0.629,Asia
Bangladesh,BGD,2022,0.684,Asia
Cambodia,KHM,2022,0.527,Asia
Canada,CAN,2022,0.885,North America
Cape Verde,CPV,2022,0.832,Africa
China,CHN,2022,0.602,Asia
Czechia,CZE,2022,0.936,Europe
Denmark,DNK,2022,0.961,Europe
Europe,,2022,0.8962195,World
Hungary,HUN,2022,0.861,Europe
Malaysia,MYS,2022,0.796,Asia
Mexico,MEX,2022,0.773,North America
Moldova,MDA,2022,0.92,Europe
Myanmar,MMR,2022,0.438,Asia
North America,,2022,0.7744,World
Oceania,,2022,0.73183334,World
Palestine/Gaza,,2022,0.375,Asia
Rwanda,RWA,2022,0.753,Africa
Slovakia,SVK,2022,0.903,Europe
South America,,2022,0.81625,World
Vietnam,VNM,2022,0.723,Asia
World,OWID_WRL,2022,0.72427374,World
