Entity,Code,Year,Estimated number of deaths from all forms of tuberculosis
Africa,,2000,891393
Africa,,2005,932833
Africa,,2010,790836
Africa,,2015,704853
Africa,,2020,577360
Africa,,2022,441994
Asia,,2000,1601686
Asia,,2005,1320337
Asia,,2010,1074960
Asia,,2015,840774
Asia,,2020,720495
Asia,,2022,777215
Europe,,2000,59524
Europe,,2005,60053
Europe,,2010,43439
Europe,,2015,28469
Europe,,2020,20582
Europe,,2022,17344
North America,,2000,15339
North America,,2005,11285
North America,,2010,9135
North America,,2015,7829
North America,,2020,8639
North America,,2022,10054
Oceania,,2000,6684
Oceania,,2005,7629
Oceania,,2010,8710
Oceania,,2015,5396
Oceania,,2020,7600
Oceania,,2022,5306
South America,,2000,22788
South America,,2005,18394
South America,,2010,17649
South America,,2015,16766
South America,,2020,17686
South America,,2022,24746
