Entity,Code,Year,exported_deforestation
Argentina,ARG,2005,134980.06752978623
Argentina,ARG,2006,141908.42373048107
Argentina,ARG,2007,136811.88073921582
Argentina,ARG,2008,148212.7845123682
Argentina,ARG,2009,178389.0509864118
Argentina,ARG,2010,155636.71004687934
Argentina,ARG,2011,200074.26656908324
Argentina,ARG,2012,250033.94613331708
Argentina,ARG,2013,166121.86608495872
Brazil,BRA,2005,505810.0166190646
Brazil,BRA,2006,462755.7455213391
Brazil,BRA,2007,387330.4500503657
Brazil,BRA,2008,275577.0004727503
Brazil,BRA,2009,235419.5637514179
Brazil,BRA,2010,256034.24736015545
Brazil,BRA,2011,260014.6395693328
Brazil,BRA,2012,349946.8194559803
Brazil,BRA,2013,366882.9665556031
Ghana,GHA,2005,13612.001077126704
Ghana,GHA,2006,17529.765349258134
Ghana,GHA,2007,9294.781989879471
Ghana,GHA,2008,8809.70822434382
Ghana,GHA,2009,6394.377717815965
Ghana,GHA,2010,3341.252839500208
Ghana,GHA,2011,7352.207764064264
Ghana,GHA,2012,6903.133826923251
Ghana,GHA,2013,9465.056454500937
Paraguay,PRY,2005,86591.24741500936
Paraguay,PRY,2006,107303.21555352442
Paraguay,PRY,2007,139548.5554500628
Paraguay,PRY,2008,165588.230631184
Paraguay,PRY,2009,172787.31127853025
Paraguay,PRY,2010,120060.69406702102
Paraguay,PRY,2011,111993.89810981676
Paraguay,PRY,2012,145599.43493538513
Paraguay,PRY,2013,120810.9260674266
