Entity,Code,Year,Wanted fertility rate (births per woman),"Fertility rate, total (births per woman)",Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Albania,ALB,2021,,,2854710.0,
Angola,AGO,2021,,,34503776.0,
Asia,,2021,,,4693332132.0,
Benin,BEN,2021,,,12996901.0,
Burundi,BDI,2021,,,12551215.0,
Cameroon,CMR,2021,,,27198632.0,
East Timor,TLS,2021,,,1320944.0,
Ethiopia,ETH,2021,,,120283024.0,
Europe,,2021,,,746417727.0,
Gambia,GMB,2021,,,2639922.0,
Haiti,HTI,2021,,,11447575.0,
India,IND,2021,1.6,,1407563904.0,
Indonesia,IDN,2021,,,273753184.0,
Lower-middle-income countries,,2021,,,3411037255.0,
Madagascar,MDG,2021,3.8,,28915652.0,
Malawi,MWI,2021,,,19889742.0,
Maldives,MDV,2021,,,521469.0,
Mali,MLI,2021,,,21904990.0,
Mauritania,MRT,2021,4.5,,4614981.0,
Nigeria,NGA,2021,,,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,,,231402112.0,
Papua New Guinea,PNG,2021,,,9949438.0,
Sierra Leone,SLE,2021,,,8420642.0,
South America,,2021,,,434254167.0,
Tajikistan,TJK,2021,,,9750078.0,
Tanzania,TZA,2021,,,63588332.0,
Zambia,ZMB,2021,,,19473132.0,
