Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged all ages"
Andorra,AND,1990,0.016410293
Andorra,AND,1995,0.01648127
Andorra,AND,2000,0.016215399
Andorra,AND,2005,0.016462708
Andorra,AND,2010,0.019168679
Andorra,AND,2015,0.02354007
Andorra,AND,2019,0.023586428
Turkey,TUR,1990,4.2806964
Turkey,TUR,1995,3.2868445
Turkey,TUR,2000,2.5722945
Turkey,TUR,2005,1.3727767
Turkey,TUR,2010,0.8632682
Turkey,TUR,2015,0.6545125
Turkey,TUR,2019,0.5765941
Turkmenistan,TKM,1990,27.165802
Turkmenistan,TKM,1995,23.483929
Turkmenistan,TKM,2000,12.901478
Turkmenistan,TKM,2005,4.868983
Turkmenistan,TKM,2010,2.4283054
Turkmenistan,TKM,2015,1.0972612
Turkmenistan,TKM,2019,0.91997343
World,OWID_WRL,1990,45.647476
World,OWID_WRL,1995,39.1495
World,OWID_WRL,2000,33.30104
World,OWID_WRL,2005,26.938297
World,OWID_WRL,2010,22.78847
World,OWID_WRL,2015,18.394724
World,OWID_WRL,2019,15.898668
