Entity,Code,Year,Inbound/Outbound (tourists)
China,CHN,1995,4.432301
China,CHN,2000,2.981858
China,CHN,2005,1.5087024
China,CHN,2010,0.9699927
China,CHN,2015,0.4449085
France,FRA,1995,3.212726
France,FRA,2000,3.8816252
France,FRA,2005,3.3357651
France,FRA,2010,3.0608602
France,FRA,2015,3.1691685
France,FRA,2021,3.5373876
Oman,OMN,2005,0.44152626
Oman,OMN,2010,0.769354
Oman,OMN,2015,0.49739447
Oman,OMN,2021,0.3539283
Tunisia,TUN,1995,2.3172104
Tunisia,TUN,2000,3.0992646
Tunisia,TUN,2005,2.846051
Tunisia,TUN,2010,3.4791112
Tunisia,TUN,2021,1.4159039
Turkey,TUR,1995,1.7792011
Turkey,TUR,2000,1.8141559
Turkey,TUR,2005,2.4585254
Turkey,TUR,2010,4.783285
Turkey,TUR,2015,4.5112557
Turkey,TUR,2021,10.92951
