Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: interstate
Afghanistan,AFG,1989,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,2000,0
Afghanistan,AFG,2005,0
Afghanistan,AFG,2010,0
Afghanistan,AFG,2015,0
Afghanistan,AFG,2020,0
Afghanistan,AFG,2022,0
Eritrea,ERI,1989,0
Eritrea,ERI,1995,0
Eritrea,ERI,2000,50000
Eritrea,ERI,2005,0
Eritrea,ERI,2010,0
Eritrea,ERI,2015,0
Eritrea,ERI,2020,0
Eritrea,ERI,2022,0
Ethiopia,ETH,1989,0
Ethiopia,ETH,1995,0
Ethiopia,ETH,2000,0
Ethiopia,ETH,2005,0
Ethiopia,ETH,2010,0
Ethiopia,ETH,2015,0
Ethiopia,ETH,2020,0
Ethiopia,ETH,2022,0
Iraq,IRQ,1989,0
Iraq,IRQ,1995,0
Iraq,IRQ,2000,0
Iraq,IRQ,2005,0
Iraq,IRQ,2010,0
Iraq,IRQ,2015,0
Iraq,IRQ,2020,11
Iraq,IRQ,2022,0
Mexico,MEX,1989,0
Mexico,MEX,1995,0
Mexico,MEX,2000,0
Mexico,MEX,2005,0
Mexico,MEX,2010,0
Mexico,MEX,2015,0
Mexico,MEX,2020,0
Mexico,MEX,2022,0
Syria,SYR,1989,0
Syria,SYR,1995,0
Syria,SYR,2000,0
Syria,SYR,2005,0
Syria,SYR,2010,0
Syria,SYR,2015,0
Syria,SYR,2020,272
Syria,SYR,2022,55
Ukraine,UKR,1989,0
Ukraine,UKR,1995,0
Ukraine,UKR,2000,0
Ukraine,UKR,2005,0
Ukraine,UKR,2010,0
Ukraine,UKR,2015,0
Ukraine,UKR,2020,0
Ukraine,UKR,2022,81447
