Entity,Code,Year,"12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Recycling","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Other type of waste management","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Incineration","12.4.2 - Hazardous waste treated, by type of treatment (Tonnes) - EN_HAZ_TREATV - Landfilling"
Austria,AUT,2010,1117841.0,0.0,67983.0,47959.0
Austria,AUT,2020,1153284.0,0.0,,80681.0
Malaysia,MYS,2000,120570.96,4878.02,134778.05,84321.0
Malaysia,MYS,2005,149569.98,167192.69,137995.27,94158.18
Malaysia,MYS,2010,877489.4,32809.94,60803.32,69056.98
Malaysia,MYS,2015,452956.75,14751.0,48241.0,76513.0
Portugal,PRT,2010,240506.0,0.0,12418.0,87075.0
Portugal,PRT,2020,223066.0,0.0,26926.0,243558.0
United Kingdom,GBR,2020,2588.0,,,
United Kingdom,GBR,2010,,34801.0,262759.0,1331655.0
