Entity,Code,Year,Share of household consumption in GDP,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Anguilla,AIA,2019,151.33813,15177.923,15408.0,
Armenia,ARM,2019,75.730965,14735.138,2820604.0,
Asia,,2019,,,4627738749.0,
Bahrain,BHR,2019,34.250225,46964.977,1494195.0,
Barbados,BRB,2019,100.50862,12217.291,280193.0,
Bhutan,BTN,2019,50.47617,11778.3955,767467.0,
Brazil,BRA,2019,64.994484,14593.961,211782880.0,
Burundi,BDI,2019,87.05659,790.046,11874838.0,
Cambodia,KHM,2019,67.265335,4500.0527,16207746.0,
Chile,CHL,2019,58.085285,23252.557,19039484.0,
China,CHN,2019,38.751625,14128.812,1421864064.0,
Congo,COG,2019,36.779804,4657.116,5570736.0,
Cyprus,CYP,2019,75.05646,32301.82,1228840.0,
Democratic Republic of Congo,COD,2019,82.33467,1021.6937,89906896.0,
Dominica,DMA,2019,89.8236,10327.737,71446.0,
Ethiopia,ETH,2019,70.353455,2720.7412,114120592.0,
Europe,,2019,,,747418251.0,
Gabon,GAB,2019,34.43673,15492.227,2242788.0,
Germany,DEU,2019,53.676933,51190.89,83148144.0,
Haiti,HTI,2019,106.995514,1554.0212,11160441.0,
India,IND,2019,64.93567,6711.385,1383112064.0,
Indonesia,IDN,2019,55.096054,11595.102,269582880.0,
Ireland,IRL,2019,21.478909,102622.45,4896021.0,
Japan,JPN,2019,53.163773,39704.234,125791680.0,
Laos,LAO,2019,61.405594,7585.5537,7212058.0,
Macao,MAC,2019,28.888775,93488.375,663660.0,
Malaysia,MYS,2019,64.64876,25735.309,32804024.0,
Maldives,MDV,2019,40.57408,19411.275,504518.0,
Mexico,MEX,2019,65.47872,18736.527,125085312.0,
Moldova,MDA,2019,71.50752,9438.566,3109496.0,
Montserrat,MSR,2019,91.52934,15573.098,4528.0,
Morocco,MAR,2019,53.96598,7923.9307,36304408.0,
Mozambique,MOZ,2019,70.90672,1228.8705,30285602.0,
Myanmar,MMR,2019,50.85447,5153.375,53040212.0,
Nepal,NPL,2019,70.10294,3631.0178,28832500.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Oman,OMN,2019,37.693386,30723.287,4602769.0,
Pakistan,PAK,2019,83.661575,5026.2085,223293280.0,
Peru,PER,2019,63.500816,12236.712,32824864.0,
Philippines,PHL,2019,77.21456,8448.533,110380800.0,
Russia,RUS,2019,50.7329,28526.293,145742288.0,
Singapore,SGP,2019,36.854233,82336.34,5866408.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,43.692413,42219.47,51803832.0,
Syria,SYR,2019,33.47757,7210.547,20098252.0,
Tajikistan,TJK,2019,57.406513,3893.754,9337008.0,
Thailand,THA,2019,52.524452,17116.309,71307768.0,
Turkmenistan,TKM,2019,6.4183755,26026.03,6158424.0,
United Kingdom,GBR,2019,60.867645,44274.957,66778660.0,
United States,USA,2019,70.32013,62589.0,334319680.0,
Yemen,YEM,2019,64.75003,1777.2511,31546694.0,
Zambia,ZMB,2019,50.984608,3179.1958,18380478.0,
Zimbabwe,ZWE,2019,84.2998,2787.659,15354606.0,
