Entity,Code,Year,Deaths - Substance use disorders - Sex: Both - Age: Age-standardized (Rate)
Australia,AUS,1990,3.94
Australia,AUS,1995,5.36
Australia,AUS,2000,6.33
Australia,AUS,2005,5.53
Australia,AUS,2010,4.77
Australia,AUS,2015,5.47
Australia,AUS,2019,5.9
Russia,RUS,1990,18.39
Russia,RUS,1995,33.06
Russia,RUS,2000,33.79
Russia,RUS,2005,35.99
Russia,RUS,2010,24.21
Russia,RUS,2015,18.74
Russia,RUS,2019,18.16
United Kingdom,GBR,1990,2.07
United Kingdom,GBR,1995,2.95
United Kingdom,GBR,2000,4.65
United Kingdom,GBR,2005,5.38
United Kingdom,GBR,2010,5.84
United Kingdom,GBR,2015,5.87
United Kingdom,GBR,2019,5.73
United States,USA,1990,4.45
United States,USA,1995,5.23
United States,USA,2000,7.15
United States,USA,2005,10.49
United States,USA,2010,12.28
United States,USA,2015,17.5
United States,USA,2019,22.03
