Entity,Code,Year,Electric car stocks
China,CHN,2010,1940
China,CHN,2012,16920
China,CHN,2014,85000
China,CHN,2016,630000
China,CHN,2018,2240000
China,CHN,2020,4490000
China,CHN,2022,14100000
European Union (27),,2010,2840
European Union (27),,2012,30900
European Union (27),,2014,133000
European Union (27),,2016,370000
European Union (27),,2018,750000
European Union (27),,2020,2180000
European Union (27),,2022,5700000
United States,USA,2012,75000
United States,USA,2014,290000
United States,USA,2016,570000
United States,USA,2018,1120000
United States,USA,2020,1740000
United States,USA,2022,2960000
World,OWID_WRL,2010,17400
World,OWID_WRL,2012,190000
World,OWID_WRL,2014,710000
World,OWID_WRL,2016,2010000
World,OWID_WRL,2018,5100000
World,OWID_WRL,2020,10200000
World,OWID_WRL,2022,25900000
