Entity,Code,Year,Life expectancy - Sex: all - Age: at birth - Variant: medium
Angola,AGO,2022,61.9
Angola,AGO,2030,64.5
Angola,AGO,2040,66.2
Angola,AGO,2050,67.6
Angola,AGO,2060,68.9
Angola,AGO,2070,70.2
Angola,AGO,2080,71.4
Angola,AGO,2090,72.6
Angola,AGO,2100,73.8
Burundi,BDI,2022,62.0
Burundi,BDI,2030,64.3
Burundi,BDI,2040,65.8
Burundi,BDI,2050,67.2
Burundi,BDI,2060,68.6
Burundi,BDI,2070,69.8
Burundi,BDI,2080,71.0
Burundi,BDI,2090,72.2
Burundi,BDI,2100,73.4
Comoros,COM,2022,63.7
Comoros,COM,2030,66.6
Comoros,COM,2040,68.5
Comoros,COM,2050,70.1
Comoros,COM,2060,71.6
Comoros,COM,2070,73.1
Comoros,COM,2080,74.5
Comoros,COM,2090,76.0
Comoros,COM,2100,77.6
Eswatini,SWZ,2022,56.4
Eswatini,SWZ,2030,62.9
Eswatini,SWZ,2040,64.7
Eswatini,SWZ,2050,66.4
Eswatini,SWZ,2060,67.9
Eswatini,SWZ,2070,69.3
Eswatini,SWZ,2080,70.7
Eswatini,SWZ,2090,72.1
Eswatini,SWZ,2100,73.6
Liechtenstein,LIE,2022,84.7
Liechtenstein,LIE,2030,85.7
Liechtenstein,LIE,2040,86.9
Liechtenstein,LIE,2050,88.1
Liechtenstein,LIE,2060,89.3
Liechtenstein,LIE,2070,90.5
Liechtenstein,LIE,2080,91.7
Liechtenstein,LIE,2090,92.9
Liechtenstein,LIE,2100,94.1
Mauritania,MRT,2022,64.7
Mauritania,MRT,2030,68.1
Mauritania,MRT,2040,69.9
Mauritania,MRT,2050,71.4
Mauritania,MRT,2060,72.9
Mauritania,MRT,2070,74.3
Mauritania,MRT,2080,75.7
Mauritania,MRT,2090,77.2
Mauritania,MRT,2100,78.7
Morocco,MAR,2022,75.0
Morocco,MAR,2030,76.7
Morocco,MAR,2040,78.7
Morocco,MAR,2050,80.6
Morocco,MAR,2060,82.4
Morocco,MAR,2070,84.0
Morocco,MAR,2080,85.4
Morocco,MAR,2090,86.7
Morocco,MAR,2100,87.9
