Entity,Code,Year,HALF Index (habitable land area) (Alexander et al. (2016)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2013,,,1140180888.0,
Albania,ALB,2013,,11363.318,2887019.0,
Argentina,ARG,2013,,24424.137,42388268.0,
Asia,,2013,,,4365286895.0,
Australia,AUS,2013,,46744.625,23111788.0,
Austria,AUT,2013,,52997.754,8479542.0,
Bahamas,BHS,2013,,33826.34,385660.0,
Bangladesh,BGD,2013,,3932.7083,154030144.0,
Belarus,BLR,2013,,18805.432,9691143.0,
Bermuda,BMU,2013,,80503.65,63527.0,
Bolivia,BOL,2013,,7305.228,10743352.0,
Brazil,BRA,2013,,15751.484,201721776.0,
Bulgaria,BGR,2013,,18914.525,7431169.0,
Burkina Faso,BFA,2013,,1823.595,17636414.0,
Canada,CAN,2013,,46704.76,35063696.0,
Central African Republic,CAF,2013,,764.0515,4802437.0,
Chad,TCD,2013,,1804.8231,13216769.0,
China,CHN,2013,,11101.938,1376100352.0,
Croatia,HRV,2013,,24124.064,4308854.0,
Djibouti,DJI,2013,,3664.268,971761.0,
Ecuador,ECU,2013,,11806.924,15722988.0,
Egypt,EGY,2013,,9742.144,93377896.0,
Ethiopia,ETH,2013,,1518.1438,97084376.0,
Europe,,2013,,,741180502.0,
France,FRA,2013,,42813.934,63335180.0,
Germany,DEU,2013,,49954.17,81680592.0,
India,IND,2013,,4780.12,1291132032.0,
Indonesia,IDN,2013,,9402.108,253275920.0,
Iran,IRN,2013,,14113.458,78458928.0,
Israel,ISR,2013,,36436.383,7726675.0,
Japan,JPN,2013,,39569.637,127678920.0,
Kazakhstan,KAZ,2013,,23720.816,17345734.0,
Kuwait,KWT,2013,,57051.742,3646520.0,
Kyrgyzstan,KGZ,2013,,4631.4033,5719561.0,
Luxembourg,LUX,2013,,113050.664,543068.0,
Malaysia,MYS,2013,,22350.908,30134806.0,
Mali,MLI,2013,,1930.135,17004038.0,
Mauritania,MRT,2013,,4943.233,3742965.0,
Mexico,MEX,2013,,18844.031,117290680.0,
Mongolia,MNG,2013,,10504.814,2845160.0,
Morocco,MAR,2013,,6352.433,33803528.0,
Mozambique,MOZ,2013,,1179.67,25251738.0,
Myanmar,MMR,2013,,3409.649,50648336.0,
Nepal,NPL,2013,,2982.287,27381558.0,
New Zealand,NZL,2013,,39521.074,4450641.0,
Niger,NER,2013,,1089.8732,18653204.0,
North America,,2013,,,560056144.0,
Oceania,,2013,,,39057783.0,
Pakistan,PAK,2013,,4266.7114,205337552.0,
Peru,PER,2013,,11620.645,30038810.0,
Philippines,PHL,2013,,6610.851,99700112.0,
Poland,POL,2013,,25490.328,38607352.0,
Portugal,PRT,2013,,30042.89,10464537.0,
Russia,RUS,2013,,26332.396,143956864.0,
Samoa,WSM,2013,,5659.8516,199952.0,
South America,,2013,,,405147963.0,
South Korea,KOR,2013,,37021.133,50098228.0,
Spain,ESP,2013,,35363.51,46603460.0,
Tanzania,TZA,2013,,2171.4421,49253648.0,
Thailand,THA,2013,,15442.38,69578600.0,
Togo,TGO,2013,,1766.9951,7106238.0,
Turkmenistan,TKM,2013,,11071.518,5560099.0,
United Arab Emirates,ARE,2013,,62354.824,8751853.0,
United States,USA,2013,,56438.945,319375168.0,
Uzbekistan,UZB,2013,,5781.1567,29963220.0,
Vietnam,VNM,2013,,7257.7295,90267736.0,
World,OWID_WRL,2013,,14789.622,7250593280.0,
Zambia,ZMB,2013,,3330.877,15234976.0,
