Entity,Code,Year,"10.7.2 - Proportion of countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (%) - SG_CPA_MIGRP - All Domains"
Central and Southern Asia (UN),,2019,80.0
Central and Southern Asia (UN),,2021,75.0
Eastern and South-Eastern Asia (UN),,2019,42.9
Eastern and South-Eastern Asia (UN),,2021,50.0
Europe (UN),,2019,60.0
Europe (UN),,2021,73.68
Latin America and the Caribbean (UN),,2019,78.6
Latin America and the Caribbean (UN),,2021,70.59
Northern Africa (UN),,2019,0.0
Northern Africa (UN),,2021,33.33
Northern America (UN),,2019,100.0
Northern America (UN),,2021,100.0
Oceania (UN),,2019,33.3
Oceania (UN),,2021,44.44
Sub-Saharan Africa (UN),,2019,48.5
Sub-Saharan Africa (UN),,2021,56.76
World,OWID_WRL,2019,54.1
World,OWID_WRL,2021,62.32
