Entity,Code,Year,Share - Question: mh4b - Important for national government to fund research on anxiety/depression - Answer: Extremely important - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,54.02554,,1360677453.0,
Algeria,DZA,2020,29.806576,10844.7705,43451668.0,
Argentina,ARG,2020,51.355938,19685.217,45036032.0,
Asia,,2020,43.26435,,4663086623.0,
Austria,AUT,2020,62.301727,51988.414,8907780.0,
Bangladesh,BGD,2020,37.93257,5591.374,167420944.0,
Benin,BEN,2020,26.88602,3186.478,12643121.0,
Brazil,BRA,2020,77.54291,14021.958,213196304.0,
Burkina Faso,BFA,2020,38.095665,2093.7336,21522632.0,
Cambodia,KHM,2020,73.058846,4276.1846,16396864.0,
Cameroon,CMR,2020,33.810925,3665.5105,26491090.0,
Canada,CAN,2020,64.43214,46064.254,37888704.0,
Chile,CHL,2020,72.01893,23017.69,19300318.0,
China,CHN,2020,35.569416,16296.779,1424929792.0,
Cote d'Ivoire,CIV,2020,35.328575,5098.56,26811792.0,
Denmark,DNK,2020,58.212654,55518.598,5825638.0,
Dominican Republic,DOM,2020,44.702774,16768.426,10999668.0,
Egypt,EGY,2020,50.960938,11380.847,107465128.0,
Ethiopia,ETH,2020,67.04719,2253.2358,117190920.0,
Europe,,2020,57.4468,,747462669.0,
Finland,FIN,2020,69.00242,47443.902,5529468.0,
France,FRA,2020,51.529827,42233.14,64480052.0,
Greece,GRC,2020,50.966557,27103.541,10512232.0,
Guinea,GIN,2020,45.08996,2604.1172,13205157.0,
Hong Kong,HKG,2020,38.24674,55888.688,7500955.0,
India,IND,2020,39.90151,6114.0317,1396387072.0,
Indonesia,IDN,2020,56.360245,11515.74,271857984.0,
Iran,IRN,2020,71.9525,14432.362,87290192.0,
Ireland,IRL,2020,80.67703,91099.75,4946123.0,
Israel,ISR,2020,62.264053,39351.895,8757487.0,
Japan,JPN,2020,41.60216,39935.465,125244760.0,
Kazakhstan,KAZ,2020,41.279133,25361.508,18979250.0,
Kenya,KEN,2020,63.60064,4498.383,51985780.0,
Kosovo,OWID_KOS,2020,76.79983,10706.514,1670702.0,
Lebanon,LBN,2020,48.176186,13780.958,5662924.0,
Lithuania,LTU,2020,45.24862,37166.41,2820269.0,
Malaysia,MYS,2020,62.25645,25830.973,33199988.0,
Mali,MLI,2020,62.86188,2123.8281,21224042.0,
Malta,MLT,2020,82.94253,40740.97,515364.0,
Mexico,MEX,2020,55.56324,18327.99,125998296.0,
Morocco,MAR,2020,64.94933,7545.995,36688768.0,
Myanmar,MMR,2020,66.37055,4947.0938,53423200.0,
Nepal,NPL,2020,59.97689,3761.8027,29348626.0,
Netherlands,NLD,2020,46.87657,54275.004,17434562.0,
Nicaragua,NIC,2020,46.436676,5181.727,6755900.0,
Nigeria,NGA,2020,49.559334,4865.087,208327408.0,
North America,,2020,63.61081,,594263186.0,
North Macedonia,MKD,2020,67.512856,15782.548,2111078.0,
Norway,NOR,2020,54.14773,63548.0,5379836.0,
Oceania,,2020,69.30798,,43933757.0,
Peru,PER,2020,43.941376,11176.919,33304768.0,
Philippines,PHL,2020,60.82566,7773.2603,112190984.0,
Poland,POL,2020,75.39361,32546.826,38428368.0,
Russia,RUS,2020,53.61107,26583.797,145617328.0,
Serbia,SRB,2020,74.14764,18265.967,7358010.0,
South America,,2020,65.25946,,431530105.0,
Spain,ESP,2020,35.64261,35967.89,47363808.0,
Switzerland,CHE,2020,49.056637,68670.24,8638609.0,
Tanzania,TZA,2020,60.527626,2551.2063,61704520.0,
Thailand,THA,2020,60.656357,16848.584,71475664.0,
Turkey,TUR,2020,65.49907,28473.205,84135432.0,
Uganda,UGA,2020,35.51545,2240.4902,44404608.0,
United States,USA,2020,67.40371,60167.855,335942016.0,
Uzbekistan,UZB,2020,52.573723,7344.22,33526662.0,
Vietnam,VNM,2020,46.54618,10450.622,96648680.0,
Zambia,ZMB,2020,69.156685,3183.651,18927716.0,
