Entity,Code,Year,"Patent applications, residents"
China,CHN,1985,4065
China,CHN,1990,5832
China,CHN,1995,10011
China,CHN,2000,25346
China,CHN,2005,93485
China,CHN,2010,293066
China,CHN,2015,968252
China,CHN,2020,1344817
Germany,DEU,1980,28683
Germany,DEU,1985,32202
Germany,DEU,1990,30724
Germany,DEU,1995,38103
Germany,DEU,2000,51736
Germany,DEU,2005,48367
Germany,DEU,2010,47047
Germany,DEU,2015,47384
Germany,DEU,2020,42260
India,IND,1980,1207
India,IND,1985,982
India,IND,1990,1147
India,IND,1995,1545
India,IND,2000,2206
India,IND,2005,4721
India,IND,2010,8853
India,IND,2015,12579
India,IND,2020,23141
Japan,JPN,1980,165730
Japan,JPN,1985,274373
Japan,JPN,1990,333230
Japan,JPN,1995,334612
Japan,JPN,2000,387364
Japan,JPN,2005,367960
Japan,JPN,2010,290081
Japan,JPN,2015,258839
Japan,JPN,2020,227348
South Korea,KOR,1980,1241
South Korea,KOR,1985,2702
South Korea,KOR,1990,9082
South Korea,KOR,1995,59228
South Korea,KOR,2000,72831
South Korea,KOR,2005,122188
South Korea,KOR,2010,131805
South Korea,KOR,2015,167275
South Korea,KOR,2020,180477
United States,USA,1980,62098
United States,USA,1985,63673
United States,USA,1990,90643
United States,USA,1995,123962
United States,USA,2000,164795
United States,USA,2005,207867
United States,USA,2010,241977
United States,USA,2015,288335
United States,USA,2020,269586
