Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,5.9917326,285.55814,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,2.3451486,750.4487,42705372.0,
Angola,AGO,2019,7.5038376,178.02606,32353592.0,
Armenia,ARM,2019,1.182596,1616.1779,2820604.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2019,2.3419843,2227.642,404563.0,
Bangladesh,BGD,2019,3.042254,123.287,165516224.0,
Belarus,BLR,2019,0.31318608,1198.6211,9673971.0,
Brazil,BRA,2019,1.494002,1497.8147,211782880.0,
Burkina Faso,BFA,2019,8.822931,122.40751,20951638.0,
Burundi,BDI,2019,5.6736746,61.796417,11874838.0,
China,CHN,2019,0.7979075,880.1913,1421864064.0,
Cote d'Ivoire,CIV,2019,7.9743156,179.55179,26147544.0,
Democratic Republic of Congo,COD,2019,8.4404125,40.61374,89906896.0,
Djibouti,DJI,2019,5.7923765,104.14179,1073999.0,
Dominica,DMA,2019,3.5175667,675.37415,71446.0,
Egypt,EGY,2019,2.029165,582.22736,105618672.0,
Equatorial Guinea,GNQ,2019,8.188848,607.4327,1553037.0,
Eritrea,ERI,2019,4.0583153,81.84661,3498819.0,
Estonia,EST,2019,0.22911541,2616.814,1327039.0,
Eswatini,SWZ,2019,5.6902075,610.494,1169620.0,
Ethiopia,ETH,2019,5.085436,75.11409,114120592.0,
Europe,,2019,0.4738411,,747418251.0,
Fiji,FJI,2019,2.694037,545.3103,918472.0,
Gabon,GAB,2019,4.3198805,432.18716,2242788.0,
Guinea,GIN,2019,10.4019,119.59002,12877537.0,
Guyana,GUY,2019,2.9432092,673.5684,798761.0,
Haiti,HTI,2019,6.2499466,143.45038,11160441.0,
India,IND,2019,3.4329019,211.00223,1383112064.0,
Indonesia,IDN,2019,2.3750138,358.2896,269582880.0,
Japan,JPN,2019,0.24680981,4587.0347,125791680.0,
Kyrgyzstan,KGZ,2019,1.8293571,260.34903,6323643.0,
Lesotho,LSO,2019,7.7187095,313.6058,2225710.0,
Liberia,LBR,2019,8.0560055,126.02078,4985290.0,
Madagascar,MDG,2019,6.6052713,65.232635,27533134.0,
Mali,MLI,2019,10.312911,94.55035,20567430.0,
Mozambique,MOZ,2019,7.3498373,104.819954,30285602.0,
Myanmar,MMR,2019,4.4770675,226.83073,53040212.0,
Nauru,NRU,2019,2.9573636,1389.7325,12156.0,
Niger,NER,2019,11.702052,72.48323,23443400.0,
Nigeria,NGA,2019,11.680171,162.31247,203304496.0,
North America,,2019,0.632825,,590497015.0,
Oceania,,2019,2.1083927,,43278474.0,
Pakistan,PAK,2019,6.7495565,165.55055,223293280.0,
Panama,PAN,2019,1.4845917,2490.9478,4232538.0,
Paraguay,PRY,2019,1.935833,950.1435,6530029.0,
Peru,PER,2019,1.4917434,711.62537,32824864.0,
Russia,RUS,2019,0.5837643,1704.0397,145742288.0,
Saudi Arabia,SAU,2019,0.73254573,2789.5598,35827364.0,
Senegal,SEN,2019,4.181442,144.80397,16000783.0,
Solomon Islands,SLB,2019,2.0024953,131.09265,675000.0,
South Africa,ZAF,2019,3.4338288,1187.3295,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,9.868964,62.992046,10447677.0,
Sri Lanka,LKA,2019,0.7277492,569.573,21649664.0,
Sudan,SDN,2019,5.843216,204.53532,43232092.0,
Sweden,SWE,2019,0.2625076,6222.659,10267922.0,
Tajikistan,TJK,2019,3.349769,250.76889,9337008.0,
Turkey,TUR,2019,1.0066369,1186.7393,83481688.0,
Turkmenistan,TKM,2019,4.2798543,1063.8435,6158424.0,
Uganda,UGA,2019,4.5559874,92.37874,42949076.0,
United States,USA,2019,0.6439842,10921.013,334319680.0,
Uzbekistan,UZB,2019,1.5424616,418.01346,32976946.0,
Vanuatu,VUT,2019,2.4671447,110.6409,304414.0,
Zimbabwe,ZWE,2019,5.2665887,208.41232,15354606.0,
