Entity,Code,Year,"Children out of school, primary"
East Asia and Pacific (WB),,1986,16355507
East Asia and Pacific (WB),,1990,7503521
East Asia and Pacific (WB),,1995,14863198
East Asia and Pacific (WB),,2000,10173380
East Asia and Pacific (WB),,2005,8642293
East Asia and Pacific (WB),,2010,6307600
East Asia and Pacific (WB),,2015,5933374
East Asia and Pacific (WB),,2019,5959204
Europe and Central Asia (WB),,1986,2917636
Europe and Central Asia (WB),,1990,2483619
Europe and Central Asia (WB),,1995,2770408
Europe and Central Asia (WB),,2000,1793149
Europe and Central Asia (WB),,2005,1468050
Europe and Central Asia (WB),,2010,1139206
Europe and Central Asia (WB),,2015,984421
Europe and Central Asia (WB),,2019,1102867
Latin America and Caribbean (WB),,1986,4286564
Latin America and Caribbean (WB),,1990,4833290
Latin America and Caribbean (WB),,1995,4566938
Latin America and Caribbean (WB),,2000,1968570
Latin America and Caribbean (WB),,2005,1629512
Latin America and Caribbean (WB),,2010,1553819
Latin America and Caribbean (WB),,2015,1881947
Latin America and Caribbean (WB),,2019,1635841
Middle East and North Africa (WB),,1986,7206478
Middle East and North Africa (WB),,1990,6682427
Middle East and North Africa (WB),,1995,7791258
Middle East and North Africa (WB),,2000,6398065
Middle East and North Africa (WB),,2005,3967195
Middle East and North Africa (WB),,2010,2322520
Middle East and North Africa (WB),,2015,2600672
Middle East and North Africa (WB),,2019,2643842
North America (WB),,1986,1445918
North America (WB),,1990,335636
North America (WB),,1995,753054
North America (WB),,2000,569221
North America (WB),,2005,210807
North America (WB),,2010,511361
North America (WB),,2015,455638
North America (WB),,2019,231759
South Asia (WB),,1986,39279056
South Asia (WB),,1990,38228256
South Asia (WB),,1995,36139472
South Asia (WB),,2000,34616812
South Asia (WB),,2005,19489422
South Asia (WB),,2010,15894082
South Asia (WB),,2015,17392756
South Asia (WB),,2019,14971565
Sub-Saharan Africa (WB),,1986,34448696
Sub-Saharan Africa (WB),,1990,40563568
Sub-Saharan Africa (WB),,1995,43996620
Sub-Saharan Africa (WB),,2000,43130320
Sub-Saharan Africa (WB),,2005,35453704
Sub-Saharan Africa (WB),,2010,32511406
Sub-Saharan Africa (WB),,2015,33945052
Sub-Saharan Africa (WB),,2019,36265752
