Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Infant mortality rate - Sex: Male - Wealth_quintile: All wealth quintiles,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Infant mortality rate - Sex: Female - Wealth_quintile: All wealth quintiles,Continent
Afghanistan,AFG,2021,4.650504,4.018302,
Albania,ALB,2021,0.9234333,0.75513464,
Algeria,DZA,2021,2.0693939,1.7544667,
Andorra,AND,2021,0.29127395,0.23308377,
Angola,AGO,2021,5.2193403,4.174211,
Bahamas,BHS,2021,1.22614,1.0515865,
Bahrain,BHR,2021,0.617141,0.56388515,
Bangladesh,BGD,2021,2.4533665,2.1194637,
Benin,BEN,2021,6.066881,4.9435167,
Botswana,BWA,2021,3.1137018,2.5351741,
Burkina Faso,BFA,2021,5.640414,4.684854,
Burundi,BDI,2021,4.172847,3.3366623,
Central African Republic,CAF,2021,8.261365,6.789556,
Chad,TCD,2021,7.2339554,5.944548,
Congo,COG,2021,3.530257,2.8556569,
Democratic Republic of Congo,COD,2021,6.8230066,5.6197085,
Egypt,EGY,2021,1.7371213,1.5035921,
Ethiopia,ETH,2021,3.9084675,2.91436,
Europe,,2021,0.40142792,0.3319631,
Marshall Islands,MHL,2021,2.7748017,2.1632257,
Niger,NER,2021,6.3971806,5.4814057,
Nigeria,NGA,2021,7.670368,6.405205,
North America,,2021,0.57266617,0.47970653,
Oceania,,2021,1.7938839,1.4921167,
