Entity,Code,Year,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Estimated population-based prevalence of depression,Population (historical estimates),Continent
Afghanistan,AFG,2015,4.9447594,3.31159,33753500.0,Asia
Africa,,2015,,,1201108186.0,
Angola,AGO,2015,5.747701,3.64503,28127724.0,Africa
Argentina,ARG,2015,2.423345,4.73135,43257064.0,South America
Asia,,2015,,,4458250376.0,
Austria,AUT,2015,3.117166,5.07762,8642422.0,Europe
Azerbaijan,AZE,2015,2.7152562,4.63536,9863485.0,Asia
Bangladesh,BGD,2015,4.599187,4.07197,157830000.0,Asia
Brazil,BRA,2015,3.8358004,5.75637,205188208.0,South America
Brunei,BRN,2015,1.5546203,4.03097,421449.0,Asia
Canada,CAN,2015,3.2546144,4.65483,35732120.0,North America
Central African Republic,CAF,2015,5.933393,4.18762,4819341.0,Africa
China,CHN,2015,2.746322,4.17218,1393715456.0,Asia
Colombia,COL,2015,2.16934,4.67554,47119728.0,South America
Czechia,CZE,2015,2.8789806,5.16328,10523801.0,Europe
Democratic Republic of Congo,COD,2015,5.4288607,3.76623,78656904.0,Africa
Egypt,EGY,2015,3.917347,3.46338,97723792.0,Africa
Ethiopia,ETH,2015,4.6068287,4.65843,102471896.0,Africa
Europe,,2015,,,743294457.0,
France,FRA,2015,3.8268294,4.84031,63809768.0,Europe
Germany,DEU,2015,3.501964,5.19315,82073232.0,Europe
Greece,GRC,2015,4.7407064,5.74446,10806644.0,Europe
India,IND,2015,3.7183788,4.4544,1322866560.0,Asia
Indonesia,IDN,2015,2.3780065,3.70884,259091968.0,Asia
Iran,IRN,2015,4.994914,4.85675,81790848.0,Asia
Japan,JPN,2015,2.1013238,4.24113,127250936.0,Asia
Mali,MLI,2015,3.4958656,3.56806,18112910.0,Africa
Mexico,MEX,2015,3.533733,4.15739,120149896.0,North America
Mozambique,MOZ,2015,4.962045,4.0952,26843252.0,Africa
Myanmar,MMR,2015,2.1683154,3.68631,51483956.0,Asia
Nicaragua,NIC,2015,3.2666008,4.18219,6298610.0,North America
Nigeria,NGA,2015,3.81249,3.92851,183995776.0,Africa
North America,,2015,,,570726015.0,
Oceania,,2015,,,40403644.0,
Papua New Guinea,PNG,2015,3.0808287,2.98459,8682172.0,Oceania
Philippines,PHL,2015,2.7582357,3.3429,103031360.0,Asia
Russia,RUS,2015,3.1158228,5.50914,144668384.0,Europe
Singapore,SGP,2015,1.9435817,4.56847,5650020.0,Asia
South America,,2015,,,413134461.0,
Spain,ESP,2015,4.549931,5.21308,46431344.0,Europe
Sudan,SDN,2015,4.3897004,3.55097,38171172.0,Africa
Uganda,UGA,2015,6.5792217,4.64166,37477356.0,Africa
Ukraine,UKR,2015,3.8831425,6.31443,44982568.0,Europe
United Kingdom,GBR,2015,4.1568666,4.45546,65224368.0,Europe
United States,USA,2015,4.3821406,5.85717,324607776.0,North America
Zambia,ZMB,2015,4.1974974,4.01352,16248231.0,Africa
