Entity,Code,Year,"Deaths that are from lower respiratory infections per 100,000 people, in both sexes aged all ages"
Liberia,LBR,1990,217.32921
Liberia,LBR,1995,161.37006
Liberia,LBR,2000,112.18948
Liberia,LBR,2005,73.51176
Liberia,LBR,2010,57.58939
Liberia,LBR,2015,48.238182
Liberia,LBR,2019,40.50822
Mongolia,MNG,1990,145.1826
Mongolia,MNG,1995,107.75175
Mongolia,MNG,2000,66.99238
Mongolia,MNG,2005,39.178177
Mongolia,MNG,2010,27.216753
Mongolia,MNG,2015,18.749596
Mongolia,MNG,2019,15.656385
Papua New Guinea,PNG,1990,107.10946
Papua New Guinea,PNG,1995,95.47665
Papua New Guinea,PNG,2000,91.50832
Papua New Guinea,PNG,2005,89.957054
Papua New Guinea,PNG,2010,82.41141
Papua New Guinea,PNG,2015,70.4631
Papua New Guinea,PNG,2019,63.96048
Taiwan,TWN,1990,18.67977
Taiwan,TWN,1995,19.904507
Taiwan,TWN,2000,22.144732
Taiwan,TWN,2005,30.144749
Taiwan,TWN,2010,40.362255
Taiwan,TWN,2015,49.81634
Taiwan,TWN,2019,55.322456
