Entity,Code,Year,Per capita poultry consumption,Per capita pork consumption,Per capita beef consumption
EU28,,1990,13.7005563,33.74927528,13.32262254
EU28,,1995,16.11415112,32.70797422,12.71036906
EU28,,2000,18.03887058,32.65878239,11.88832752
EU28,,2005,19.78649831,32.57842091,12.01897569
EU28,,2010,20.55971665,32.65401816,11.36843213
EU28,,2015,23.00262111,32.68229268,10.70208163
EU28,,2019,24.79596491,32.06050282,10.70287067
EU28,,2020,24.89539059,31.93079411,10.5803014
EU28,,2025,25.01502773,31.91292258,10.30006828
EU28,,2027,24.9658091,31.6968282,10.26794185
