Entity,Code,Year,Corruption Perception Index - Transparency International (2018)
Comoros,COM,2012,28
Comoros,COM,2013,28
Comoros,COM,2014,26
Comoros,COM,2015,26
Comoros,COM,2016,24
Comoros,COM,2017,27
Comoros,COM,2018,27
Cote d'Ivoire,CIV,2012,29
Cote d'Ivoire,CIV,2013,27
Cote d'Ivoire,CIV,2014,32
Cote d'Ivoire,CIV,2015,32
Cote d'Ivoire,CIV,2016,34
Cote d'Ivoire,CIV,2017,36
Cote d'Ivoire,CIV,2018,35
Denmark,DNK,2012,90
Denmark,DNK,2013,91
Denmark,DNK,2014,92
Denmark,DNK,2015,91
Denmark,DNK,2016,90
Denmark,DNK,2017,88
Denmark,DNK,2018,88
Portugal,PRT,2012,63
Portugal,PRT,2013,62
Portugal,PRT,2014,63
Portugal,PRT,2015,64
Portugal,PRT,2016,62
Portugal,PRT,2017,63
Portugal,PRT,2018,64
Romania,ROU,2012,44
Romania,ROU,2013,43
Romania,ROU,2014,43
Romania,ROU,2015,46
Romania,ROU,2016,48
Romania,ROU,2017,48
Romania,ROU,2018,47
