Entity,Code,Year,Estimated percent of women who are married or in a union
Australia/ New Zealand,,1970,58.099998
Australia/ New Zealand,,1980,58.5
Australia/ New Zealand,,1990,59.799999
Australia/ New Zealand,,2000,58.400002
Australia/ New Zealand,,2010,54.0
Australia/ New Zealand,,2020,52.799999
Caribbean,,1970,58.799999
Caribbean,,1980,56.400002
Caribbean,,1990,56.900002
Caribbean,,2000,57.099998
Caribbean,,2010,56.299999
Caribbean,,2020,56.099998
Eastern Europe,,1970,68.0
Eastern Europe,,1980,69.0
Eastern Europe,,1990,68.199997
Eastern Europe,,2000,61.400002
Eastern Europe,,2010,57.200001
Eastern Europe,,2020,56.5
Melanesia,OWID_MNS,1970,67.199997
Melanesia,OWID_MNS,1980,67.400002
Melanesia,OWID_MNS,1990,65.900002
Melanesia,OWID_MNS,2000,66.099998
Melanesia,OWID_MNS,2010,65.900002
Melanesia,OWID_MNS,2020,62.900002
Northern America,,1970,66.699997
Northern America,,1980,63.5
Northern America,,1990,63.299999
Northern America,,2000,59.200001
Northern America,,2010,53.900002
Northern America,,2020,51.599998
Southern Europe,,1970,64.400002
Southern Europe,,1980,60.299999
Southern Europe,,1990,56.599998
Southern Europe,,2000,55.5
Southern Europe,,2010,54.799999
Southern Europe,,2020,53.400002
Western Asia,,1970,69.699997
Western Asia,,1980,66.800003
Western Asia,,1990,65.0
Western Asia,,2000,62.400002
Western Asia,,2010,60.099998
Western Asia,,2020,58.799999
World,OWID_WRL,1970,68.800003
World,OWID_WRL,1980,67.5
World,OWID_WRL,1990,66.5
World,OWID_WRL,2000,66.199997
World,OWID_WRL,2010,64.5
World,OWID_WRL,2020,63.700001
