Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to household air pollution (deaths per 100,000 population) - SH_HAP_ASMORT","3.9.1 - Age-standardized mortality rate attributed to ambient air pollution (deaths per 100,000 population) - SH_AAP_ASMORT",Population (historical estimates),Continent
Australia,AUS,2019,0.0,10.0,25357168.0,
Benin,BEN,2019,160.0,77.0,12290443.0,
Bosnia and Herzegovina,BIH,2019,72.0,55.0,3360718.0,
Cape Verde,CPV,2019,41.0,59.0,577037.0,
Congo,COG,2019,129.0,66.0,5570736.0,
Croatia,HRV,2019,0.0,31.0,4129749.0,
Democratic Republic of Congo,COD,2019,172.0,72.0,89906896.0,
Denmark,DNK,2019,0.0,13.0,5795879.0,
Ecuador,ECU,2019,6.0,23.0,17343742.0,
France,FRA,2019,0.0,10.0,64399760.0,
Honduras,HND,2019,77.0,49.0,9958832.0,
Liberia,LBR,2019,121.0,60.0,4985290.0,
Luxembourg,LUX,2019,0.0,13.0,619981.0,
Malta,MLT,2019,0.0,21.0,503646.0,
Philippines,PHL,2019,138.0,92.0,110380800.0,
Rwanda,RWA,2019,133.0,62.0,12835029.0,
South Africa,ZAF,2019,34.0,47.0,58087060.0,
Togo,TGO,2019,173.0,91.0,8243093.0,
Turkmenistan,TKM,2019,2.0,87.0,6158424.0,
Uganda,UGA,2019,131.0,60.0,42949076.0,
United Kingdom,GBR,2019,0.0,13.0,66778660.0,
Uzbekistan,UZB,2019,46.0,117.0,32976946.0,
Venezuela,VEN,2019,7.0,32.0,28971686.0,
