Entity,Code,Year,Minutes spent on leisure - women (OECD Gender data (2020)),Minutes spent on leisure - men (OECD Gender data (2020)),Population (historical estimates),Continent
Africa,,2009,,,1028200528.0,
Africa,,2016,,,1232111820.0,
Africa,,2020,,,1360677453.0,
Asia,,2009,,,4171339685.0,
Asia,,2016,,,4502955714.0,
Asia,,2020,,,4663086623.0,
China,CHN,2020,211.0,248.0,1424929792.0,
China,CHN,2009,,,1339125632.0,
China,CHN,2016,,,1401889664.0,
Estonia,EST,2020,278.0,345.0,1329449.0,
Estonia,EST,2009,,,1334557.0,
Estonia,EST,2016,,,1315928.0,
Europe,,2009,,,736013515.0,
Europe,,2016,,,744516175.0,
Europe,,2020,,,747462669.0,
Germany,DEU,2020,316.0,346.0,83328992.0,
Germany,DEU,2009,,,81260624.0,
Germany,DEU,2016,,,82331432.0,
Greece,GRC,2020,311.0,375.0,10512232.0,
Greece,GRC,2009,,,11055503.0,
Greece,GRC,2016,,,10749742.0,
Hungary,HUN,2020,257.0,308.0,9750571.0,
Hungary,HUN,2009,,,10008581.0,
Hungary,HUN,2016,,,9815106.0,
India,IND,2020,221.0,283.0,1396387072.0,
India,IND,2009,,,1223640192.0,
India,IND,2016,,,1338636288.0,
Italy,ITA,2020,281.0,366.0,59500576.0,
Italy,ITA,2009,,,59562844.0,
Italy,ITA,2016,,,60118628.0,
Japan,JPN,2020,266.0,292.0,125244760.0,
Japan,JPN,2009,,,128117040.0,
Japan,JPN,2016,,,126993856.0,
Lithuania,LTU,2020,215.0,282.0,2820269.0,
Lithuania,LTU,2009,,,3180482.0,
Lithuania,LTU,2016,,,2933676.0,
Mexico,MEX,2020,159.0,187.0,125998296.0,
Mexico,MEX,2009,,,111049424.0,
Mexico,MEX,2016,,,121519224.0,
Netherlands,NLD,2020,300.0,330.0,17434562.0,
Netherlands,NLD,2009,,,16536200.0,
Netherlands,NLD,2016,,,17124512.0,
New Zealand,NZL,2020,295.0,306.0,5061130.0,
New Zealand,NZL,2009,,,4302884.0,
New Zealand,NZL,2016,,,4668088.0,
North America,,2009,,,537567761.0,
North America,,2016,,,576008328.0,
North America,,2020,,,594263186.0,
Norway,NOR,2020,366.0,370.0,5379836.0,
Norway,NOR,2009,,,4829195.0,
Norway,NOR,2016,,,5236591.0,
Oceania,,2009,,,36448615.0,
Oceania,,2016,,,41101240.0,
Oceania,,2020,,,43933757.0,
Portugal,PRT,2020,200.0,289.0,10298186.0,
Portugal,PRT,2009,,,10591341.0,
Portugal,PRT,2016,,,10332751.0,
South Korea,KOR,2020,244.0,272.0,51844688.0,
South Korea,KOR,2009,,,48588024.0,
South Korea,KOR,2016,,,51309984.0,
United Kingdom,GBR,2020,285.0,327.0,67059472.0,
United Kingdom,GBR,2009,,,62243384.0,
United Kingdom,GBR,2016,,,65655204.0,
United States,USA,2020,267.0,316.0,335942016.0,
United States,USA,2009,,,308512032.0,
United States,USA,2016,,,327210208.0,
