Entity,Code,Year,"Industry as % of total employment -- ILO modelled estimates, May 2017"
Canada,CAN,1991,22.577
Canada,CAN,1995,21.966
Canada,CAN,2000,22.5
Canada,CAN,2005,22.1
Canada,CAN,2010,20.201
Canada,CAN,2015,19.619
Canada,CAN,2017,19.502
China,CHN,1991,19.438
China,CHN,1995,21.826
China,CHN,2000,18.785
China,CHN,2005,21.818
China,CHN,2010,23.978
China,CHN,2015,23.745
China,CHN,2017,23.89
Gambia,GMB,1991,4.848
Gambia,GMB,1995,5.56
Gambia,GMB,2000,7.03
Gambia,GMB,2005,9.458
Gambia,GMB,2010,11.722
Gambia,GMB,2015,13.734
Gambia,GMB,2017,14.35
Germany,DEU,1991,42.311
Germany,DEU,1995,36.303
Germany,DEU,2000,33.531
Germany,DEU,2005,29.84
Germany,DEU,2010,28.357
Germany,DEU,2015,27.835
Germany,DEU,2017,27.453
India,IND,1991,15.444
India,IND,1995,16.44
India,IND,2000,15.984
India,IND,2005,18.981
India,IND,2010,22.455
India,IND,2015,24.183
India,IND,2017,24.481
North America,,1991,25.411
North America,,1995,23.929
North America,,2000,22.474
North America,,2005,20.39
North America,,2010,18.041
North America,,2015,17.721
North America,,2017,17.477
Russia,RUS,1991,33.327
Russia,RUS,1995,29.882
Russia,RUS,2000,28.457
Russia,RUS,2005,29.83
Russia,RUS,2010,27.686
Russia,RUS,2015,27.181
Russia,RUS,2017,27.143
World,OWID_WRL,1991,20.844
World,OWID_WRL,1995,20.957
World,OWID_WRL,2000,19.487
World,OWID_WRL,2005,20.562
World,OWID_WRL,2010,21.327
World,OWID_WRL,2015,21.561
World,OWID_WRL,2017,21.551
