Entity,Code,Year,Deaths - Alcohol use disorders - Sex: Both - Age: Age-standardized (Rate)
Bosnia and Herzegovina,BIH,1990,6.32
Bosnia and Herzegovina,BIH,1995,6.7
Bosnia and Herzegovina,BIH,2000,4.69
Bosnia and Herzegovina,BIH,2005,2.32
Bosnia and Herzegovina,BIH,2010,1.76
Bosnia and Herzegovina,BIH,2015,1.7
Bosnia and Herzegovina,BIH,2019,1.66
Georgia,GEO,1990,2.68
Georgia,GEO,1995,2.09
Georgia,GEO,2000,0.87
Georgia,GEO,2005,1.0
Georgia,GEO,2010,1.08
Georgia,GEO,2015,0.89
Georgia,GEO,2019,0.93
Jamaica,JAM,1990,0.24
Jamaica,JAM,1995,0.31
Jamaica,JAM,2000,0.45
Jamaica,JAM,2005,0.32
Jamaica,JAM,2010,0.35
Jamaica,JAM,2015,0.3
Jamaica,JAM,2019,0.31
