Entity,Code,Year,Imports of goods and services (constant 2015 US$)
Germany,DEU,1970,161882490000.0
Germany,DEU,1980,271621230000.0
Germany,DEU,1990,402896620000.0
Germany,DEU,2000,746018640000.0
Germany,DEU,2010,1088659000000.0
Germany,DEU,2021,1548681700000.0
India,IND,1960,9173869000.0
India,IND,1970,8873403000.0
India,IND,1980,17388570000.0
India,IND,1990,31245945000.0
India,IND,2000,105913850000.0
India,IND,2010,417631800000.0
India,IND,2021,718180100000.0
Nigeria,NGA,1990,31943182000.0
Nigeria,NGA,2000,41428380000.0
Nigeria,NGA,2010,96202890000.0
Nigeria,NGA,2021,51524346000.0
South Korea,KOR,1960,1257561300.0
South Korea,KOR,1970,6305311000.0
South Korea,KOR,1980,27587316000.0
South Korea,KOR,1990,74917070000.0
South Korea,KOR,2000,204927170000.0
South Korea,KOR,2010,429174100000.0
South Korea,KOR,2021,645201850000.0
United Kingdom,GBR,1970,114585900000.0
United Kingdom,GBR,1980,163736570000.0
United Kingdom,GBR,1990,281780780000.0
United Kingdom,GBR,2000,511704760000.0
United Kingdom,GBR,2010,720677800000.0
United Kingdom,GBR,2021,844837200000.0
United States,USA,1970,252679470000.0
United States,USA,1980,368136100000.0
United States,USA,1990,718642700000.0
United States,USA,2000,1751801900000.0
United States,USA,2010,2324765300000.0
United States,USA,2021,3245332800000.0
