Entity,Code,Year,Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Rate)
Egypt,EGY,1990,70.39
Egypt,EGY,1995,64.19
Egypt,EGY,2000,60.42
Egypt,EGY,2005,61.99
Egypt,EGY,2010,60.66
Egypt,EGY,2015,62.43
Egypt,EGY,2019,63.22
Seychelles,SYC,1990,24.32
Seychelles,SYC,1995,29.33
Seychelles,SYC,2000,31.2
Seychelles,SYC,2005,30.35
Seychelles,SYC,2010,29.31
Seychelles,SYC,2015,30.76
Seychelles,SYC,2019,32.71
Slovakia,SVK,1990,30.93
Slovakia,SVK,1995,26.92
Slovakia,SVK,2000,29.35
Slovakia,SVK,2005,33.34
Slovakia,SVK,2010,32.74
Slovakia,SVK,2015,31.78
Slovakia,SVK,2019,31.15
