Entity,Code,Year,Annual statutory teacher salaries in public institutions in USD. Primary. 10 years of experience
Australia,AUS,2009,48233.47
Australia,AUS,2010,47445.086
Australia,AUS,2012,51504.473
Australia,AUS,2014,57246.176
Australia,AUS,2018,63276.9
Australia,AUS,2019,64926.234
Colombia,COL,2014,31870.531
Colombia,COL,2018,35787.914
Colombia,COL,2019,38736.414
Lithuania,LTU,2018,20511.012
Lithuania,LTU,2019,29213.648
Slovakia,SVK,2009,13351.886
Slovakia,SVK,2010,12132.092
Slovakia,SVK,2012,12778.259
Slovakia,SVK,2014,14221.736
Slovakia,SVK,2018,18418.137
Slovakia,SVK,2019,17975.662
