Entity,Code,Year,"Current number of cases of alcohol use disorders, in both sexes aged all ages"
African Region (WHO),,1990,4230659.5
African Region (WHO),,1995,4828676.0
African Region (WHO),,2000,5568452.0
African Region (WHO),,2005,6284681.5
African Region (WHO),,2010,7442375.5
African Region (WHO),,2015,8432433.0
African Region (WHO),,2019,9551096.0
Eastern Mediterranean Region (WHO),,1990,1942225.8
Eastern Mediterranean Region (WHO),,1995,2303337.5
Eastern Mediterranean Region (WHO),,2000,2685246.0
Eastern Mediterranean Region (WHO),,2005,3116294.5
Eastern Mediterranean Region (WHO),,2010,3661827.0
Eastern Mediterranean Region (WHO),,2015,4113726.8
Eastern Mediterranean Region (WHO),,2019,4666327.5
European Region (WHO),,1990,21746050.0
European Region (WHO),,1995,22792942.0
European Region (WHO),,2000,24954480.0
European Region (WHO),,2005,23296802.0
European Region (WHO),,2010,22790706.0
European Region (WHO),,2015,22766008.0
European Region (WHO),,2019,22455144.0
Region of the Americas (WHO),,1990,17058462.0
Region of the Americas (WHO),,1995,17027150.0
Region of the Americas (WHO),,2000,18615622.0
Region of the Americas (WHO),,2005,19929830.0
Region of the Americas (WHO),,2010,21331890.0
Region of the Americas (WHO),,2015,22897400.0
Region of the Americas (WHO),,2019,23147310.0
South-East Asia Region (WHO),,1990,14647570.0
South-East Asia Region (WHO),,1995,16606594.0
South-East Asia Region (WHO),,2000,19059624.0
South-East Asia Region (WHO),,2005,21570886.0
South-East Asia Region (WHO),,2010,19969522.0
South-East Asia Region (WHO),,2015,20526596.0
South-East Asia Region (WHO),,2019,21248478.0
Western Pacific Region (WHO),,1990,19126518.0
Western Pacific Region (WHO),,1995,23346802.0
Western Pacific Region (WHO),,2000,22219656.0
Western Pacific Region (WHO),,2005,21680104.0
Western Pacific Region (WHO),,2010,23521208.0
Western Pacific Region (WHO),,2015,25304106.0
Western Pacific Region (WHO),,2019,26783890.0
