Entity,Code,Year,number_without_clean_fuels_cooking
East Asia & Pacific,,2000,1122928163.0
East Asia & Pacific,,2002,1105009448.0
East Asia & Pacific,,2004,1085571717.0
East Asia & Pacific,,2006,1054063342.0
East Asia & Pacific,,2008,1019396172.0
East Asia & Pacific,,2010,982148134.6
East Asia & Pacific,,2012,948009192.4
East Asia & Pacific,,2014,917357949.9
East Asia & Pacific,,2016,890451015.8
Europe & Central Asia,,2000,66175294.88
Europe & Central Asia,,2002,57182742.8
Europe & Central Asia,,2004,49880200.85
Europe & Central Asia,,2006,43432096.36
Europe & Central Asia,,2008,38064189.06
Europe & Central Asia,,2010,33664793.66
Europe & Central Asia,,2012,30009577.48
Europe & Central Asia,,2014,26820072.23
Europe & Central Asia,,2016,24331013.38
Latin America & Caribbean,,2000,114193382.8
Latin America & Caribbean,,2002,107619792.0
Latin America & Caribbean,,2004,101661858.7
Latin America & Caribbean,,2006,96427219.66
Latin America & Caribbean,,2008,91956720.68
Latin America & Caribbean,,2010,88219416.58
Latin America & Caribbean,,2012,84762669.56
Latin America & Caribbean,,2014,81673093.1
Latin America & Caribbean,,2016,81648208.01
Middle East & North Africa,,2000,47671421.1
Middle East & North Africa,,2002,39236704.56
Middle East & North Africa,,2004,33473184.59
Middle East & North Africa,,2006,28711511.46
Middle East & North Africa,,2008,25779557.7
Middle East & North Africa,,2010,23622029.47
Middle East & North Africa,,2012,22856902.14
Middle East & North Africa,,2014,21956061.17
Middle East & North Africa,,2016,21749760.4
South Asia,,2000,1106859484.0
South Asia,,2002,1110497020.0
South Asia,,2004,1115985550.0
South Asia,,2006,1119176181.0
South Asia,,2008,1118644934.0
South Asia,,2010,1114194019.0
South Asia,,2012,1107516840.0
South Asia,,2014,1098601386.0
South Asia,,2016,1085974791.0
Sub-Saharan Africa,,2000,603614679.0
Sub-Saharan Africa,,2002,632253609.1
Sub-Saharan Africa,,2004,662301616.8
Sub-Saharan Africa,,2006,694009465.6
Sub-Saharan Africa,,2008,727506279.2
Sub-Saharan Africa,,2010,762640936.5
Sub-Saharan Africa,,2012,799019428.9
Sub-Saharan Africa,,2014,836676674.7
Sub-Saharan Africa,,2016,875417083.0
