Entity,Code,Year,$10 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,1327701380.0,
Asia,,2019,,4627738749.0,
Bangladesh,BGD,2019,,165516224.0,
Brazil,BRA,2019,39.75959,211782880.0,
China,CHN,2019,45.839848,1421864064.0,
Democratic Republic of Congo,COD,2019,,89906896.0,
Egypt,EGY,2019,87.50728,105618672.0,
Europe,,2019,,747418251.0,
India,IND,2019,92.653625,1383112064.0,
Indonesia,IDN,2019,80.66596,269582880.0,
Italy,ITA,2019,4.1730213,59727936.0,
Japan,JPN,2019,,125791680.0,
Luxembourg,LUX,2019,0.3957644,619981.0,
Malawi,MWI,2019,99.11383,18867340.0,
Mexico,MEX,2019,,125085312.0,
North America,,2019,,590497015.0,
Oceania,,2019,,43278474.0,
Pakistan,PAK,2019,,223293280.0,
Russia,RUS,2019,15.403114,145742288.0,
South Africa,ZAF,2019,,58087060.0,
South America,,2019,,428318218.0,
Zambia,ZMB,2019,,18380478.0,
