Entity,Code,Year,GDP.per.capita,Baseline Gini series (GCIP income and van Zanden et al. (2014)),Population (historical estimates),GDP.per.capita_source
Afghanistan,AFG,1820,450.09600165288,0.5771468,3288817.0,Maddison - extrapolated using average regional growth rate
Afghanistan,AFG,2011,,,29249156.0,
Afghanistan,AFG,2012,,,30466484.0,
Afghanistan,AFG,2014,,,32716214.0,
Austria,AUT,1820,1941.0,0.5335227,3367266.0,Maddison - original
Austria,AUT,2011,,,8391201.0,
Austria,AUT,2012,,,8429641.0,
Austria,AUT,2014,,,8546066.0,
Bahrain,BHR,1820,1305.90137503786,0.5771468,64474.0,Maddison - extrapolated using average regional growth rate
Bahrain,BHR,2011,,,1212086.0,
Bahrain,BHR,2012,,,1224948.0,
Bahrain,BHR,2014,,,1311142.0,
Bangladesh,BGD,1820,595.706695672127,0.328,20085068.0,Maddison - extrapolated using average regional growth rate
Bangladesh,BGD,2011,,,150211008.0,
Bangladesh,BGD,2012,,,152090656.0,
Bangladesh,BGD,2014,,,155961312.0,
Belgium,BEL,1820,2358.0,0.6243673,3446611.0,Maddison - original
Belgium,BEL,2011,,,10955742.0,
Belgium,BEL,2012,,,11031140.0,
Belgium,BEL,2014,,,11176727.0,
Bolivia,BOL,1820,1020.52700406296,0.47762336,1097885.0,Maddison - extrapolated using average regional growth rate
Bolivia,BOL,2011,,,10396249.0,
Bolivia,BOL,2012,,,10569697.0,
Bolivia,BOL,2014,,,10916991.0,
Brazil,BRA,1820,867.0,0.4710099,4472454.0,Maddison - original
Brazil,BRA,2011,,,198185296.0,
Brazil,BRA,2012,,,199977712.0,
Brazil,BRA,2014,,,203459648.0,
Cambodia,KHM,1820,441.781699926039,0.4928329,2092839.0,Maddison - extrapolated using average regional growth rate
Cambodia,KHM,2011,,,14573894.0,
Cambodia,KHM,2012,,,14786650.0,
Cambodia,KHM,2014,,,15210817.0,
China,CHN,1820,882.0,0.448543,380427133.0,Maddison - original
China,CHN,2011,,,1357095424.0,
China,CHN,2012,,,1366560768.0,
China,CHN,2014,,,1385189632.0,
Czechoslovakia,OWID_CZS,1820,1353.0,0.465460366666667,7657000.0,Maddison - original
Eswatini,SWZ,1820,224.33331890158,0.5190016,77437.0,Maddison - extrapolated using average regional growth rate
Eswatini,SWZ,2011,,,1105379.0,
Eswatini,SWZ,2012,,,1111453.0,
Eswatini,SWZ,2014,,,1125872.0,
Ethiopia,ETH,1820,455.098957998729,0.5190016,12499625.0,Maddison - extrapolated using average regional growth rate
Ethiopia,ETH,2011,,,91817936.0,
Ethiopia,ETH,2012,,,94451280.0,
Ethiopia,ETH,2014,,,99746768.0,
France,FRA,1820,1809.0,0.59,31299931.0,Maddison - original
France,FRA,2011,,,62775272.0,
France,FRA,2012,,,63071412.0,
France,FRA,2014,,,63588496.0,
Germany,DEU,1820,1572.0,0.520763746153846,24844857.0,Maddison - original
Germany,DEU,2011,,,81423384.0,
Germany,DEU,2012,,,81545568.0,
Germany,DEU,2014,,,81858824.0,
Hungary,HUN,1820,1185.63709207996,0.4741291,4134289.0,Maddison - extrapolated using average regional growth rate
Hungary,HUN,2011,,,9953247.0,
Hungary,HUN,2012,,,9922133.0,
Hungary,HUN,2014,,,9867906.0,
Iceland,ISL,1820,2273.88059763844,0.520763746153846,61291.0,Maddison - extrapolated using average regional growth rate
Iceland,ISL,2011,,,319308.0,
Iceland,ISL,2012,,,320988.0,
Iceland,ISL,2014,,,327650.0,
India,IND,1820,935.338517361967,0.328,209843353.0,Maddison - extrapolated using average regional growth rate
India,IND,2011,,,1257621248.0,
India,IND,2012,,,1274487168.0,
India,IND,2014,,,1307246464.0,
Indonesia,IDN,1820,827.0,0.5169444,17236636.0,Maddison - original
Indonesia,IDN,2011,,,247099696.0,
Indonesia,IDN,2012,,,250222688.0,
Indonesia,IDN,2014,,,256229760.0,
Ireland,IRL,1820,1398.0,0.4458137,7079278.0,Maddison - original
Ireland,IRL,2011,,,4544504.0,
Ireland,IRL,2012,,,4564550.0,
Ireland,IRL,2014,,,4622165.0,
Israel,ISR,1820,3611.95580819589,0.5771468,209954.0,Maddison - extrapolated using average regional growth rate
Israel,ISR,2011,,,7459750.0,
Israel,ISR,2012,,,7592099.0,
Israel,ISR,2014,,,7863849.0,
Italy,ITA,1820,2665.0,0.5386328,20217832.0,Maddison - original
Italy,ITA,2011,,,60025952.0,
Italy,ITA,2012,,,60190152.0,
Italy,ITA,2014,,,60322792.0,
Japan,JPN,1820,1317.0,0.5315753,30925444.0,Maddison - original
Japan,JPN,2011,,,128007256.0,
Japan,JPN,2012,,,127853688.0,
Japan,JPN,2014,,,127476728.0,
