Entity,Code,Year,Very important in life: Friends,Rather important in life: Friends,Not very important in life: Friends,Not at all important in life: Friends,Don't know: Important in life: Friends,No answer: Important in life: Friends
Bulgaria,BGR,2022,45.75946,45.7002,7.229739,0.9151427,0.020938,0.3745157
China,CHN,2022,34.50488,57.02899,7.964835,0.2570929,0.0,0.2441972
Cyprus,CYP,2022,53.22321,37.94798,7.024249,1.344455,0.1479793,0.3121242
Egypt,EGY,2022,41.66666,39.66667,13.66667,4.916667,0.0833333,0.0
Italy,ITA,2022,39.96132,54.24353,5.081348,0.6073331,0.0619659,0.044501
Jordan,JOR,2022,51.37157,37.32336,7.730673,3.325021,0.2493766,0.0
Kenya,KEN,2022,54.81833,35.15008,8.609795,1.263823,0.0,0.1579779
Myanmar,MMR,2022,11.83333,64.0,20.75,3.416667,0.0,0.0
Pakistan,PAK,2022,58.49624,29.72431,7.669173,3.909775,0.2005012,0.0
Poland,POL,2022,40.58937,53.84764,4.428983,0.8788179,0.2551922,0.0
Russia,RUS,2022,39.27123,45.40368,12.37716,2.465746,0.45079,0.0313967
South Korea,KOR,2022,40.0,57.75101,2.248996,,,0.0
