Entity,Code,Year,Palm fruit oil | 00000254 || Yield | 005419 || tonnes per hectare
Colombia,COL,1961,15.0
Colombia,COL,1970,15.2174
Colombia,COL,1980,15.0
Colombia,COL,1990,15.6102
Colombia,COL,2000,18.3272
Colombia,COL,2010,19.637299
Colombia,COL,2021,15.785
Indonesia,IDN,1961,13.3571
Indonesia,IDN,1970,13.0
Indonesia,IDN,1980,16.6667
Indonesia,IDN,1990,16.5695
Indonesia,IDN,2000,18.063599
Indonesia,IDN,2010,17.296
Indonesia,IDN,2021,17.104599
Malaysia,MYS,1961,11.5468
Malaysia,MYS,1970,14.3763
Malaysia,MYS,1980,16.465399
Malaysia,MYS,1990,17.7543
Malaysia,MYS,2000,16.7621
Malaysia,MYS,2010,17.1189
Malaysia,MYS,2021,17.7664
Thailand,THA,1961,5.7894998
Thailand,THA,1970,5.7894998
Thailand,THA,1980,9.6444
Thailand,THA,1990,12.4143
Thailand,THA,2000,14.531099
Thailand,THA,2010,15.1915
Thailand,THA,2021,18.1624
World,OWID_WRL,1961,3.7658
World,OWID_WRL,1970,4.6362
World,OWID_WRL,1980,6.9814997
World,OWID_WRL,1990,9.9591
World,OWID_WRL,2000,11.6276
World,OWID_WRL,2010,13.903399
World,OWID_WRL,2021,14.403299
