Entity,Code,Year,"DALYs per 100,000 people - Cause: All Causes - Sex: Both sexes - Age group: ALLAges"
Central African Republic,CAF,2000,122323.32
Central African Republic,CAF,2005,114259.33
Central African Republic,CAF,2010,99721.37
Central African Republic,CAF,2015,87455.23
Central African Republic,CAF,2019,75724.6
Democratic Republic of Congo,COD,2000,102760.08
Democratic Republic of Congo,COD,2005,90510.95
Democratic Republic of Congo,COD,2010,78328.17
Democratic Republic of Congo,COD,2015,66666.67
Democratic Republic of Congo,COD,2019,58525.35
Mozambique,MOZ,2000,109604.52
Mozambique,MOZ,2005,95609.76
Mozambique,MOZ,2010,80851.06
Mozambique,MOZ,2015,68888.89
Mozambique,MOZ,2019,61184.21
