Entity,Code,Year,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,35.4,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Argentina,ARG,2021,99.9,21527.195,45276788.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2021,26.5,5911.013,169356240.0,
Benin,BEN,2021,4.6,3321.5522,12996901.0,
Bolivia,BOL,2021,88.3,8052.1772,12079474.0,
Bosnia and Herzegovina,BIH,2021,41.65,15666.54,3270948.0,
Botswana,BWA,2021,65.7,14840.913,2588424.0,
Brazil,BRA,2021,96.5,14592.353,214326224.0,
Burkina Faso,BFA,2021,11.7,2179.789,22100690.0,
Burundi,BDI,2021,0.2,705.0304,12551215.0,
Cameroon,CMR,2021,22.8,3700.4644,27198632.0,
China,CHN,2021,83.2,17602.695,1425893504.0,
Colombia,COL,2021,93.3,14648.592,51516560.0,
Egypt,EGY,2021,99.9,11566.05,109262184.0,
El Salvador,SLV,2021,92.7,9086.047,6314165.0,
Equatorial Guinea,GNQ,2021,24.1,14637.008,1634473.0,
Eswatini,SWZ,2021,58.1,8856.829,1192273.0,
Ethiopia,ETH,2021,7.5,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
Fiji,FJI,2021,51.4,10359.204,924615.0,
Ghana,GHA,2021,30.3,5435.238,32833036.0,
India,IND,2021,71.1,6592.042,1407563904.0,
Indonesia,IDN,2021,86.9,11858.146,273753184.0,
Iraq,IRQ,2021,99.3,8962.395,43533592.0,
Japan,JPN,2021,100.0,40784.383,124612528.0,
Kyrgyzstan,KGZ,2021,78.2,4814.9565,6527742.0,
Laos,LAO,2021,9.3,7846.975,7425055.0,
Lesotho,LSO,2021,41.1,2295.2322,2281464.0,
Madagascar,MDG,2021,1.4,1463.6288,28915652.0,
Marshall Islands,MHL,2021,66.7,5961.8164,42074.0,
Mongolia,MNG,2021,53.0,11668.431,3347782.0,
Montenegro,MNE,2021,62.0,20602.5,627856.0,
Mozambique,MOZ,2021,5.4,1226.767,32077074.0,
Myanmar,MMR,2021,43.5,4032.6257,53798088.0,
Nepal,NPL,2021,35.2,3831.9485,30034988.0,
Nicaragua,NIC,2021,57.4,5638.748,6850546.0,
Nigeria,NGA,2021,16.8,4922.6323,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,50.7,5232.1426,231402112.0,
Papua New Guinea,PNG,2021,9.7,3677.4602,9949438.0,
Paraguay,PRY,2021,69.8,13687.655,6703802.0,
Philippines,PHL,2021,48.0,8094.693,113880336.0,
Russia,RUS,2021,72.9,27960.102,145102752.0,
Samoa,WSM,2021,37.2,5534.127,218781.0,
Senegal,SEN,2021,29.4,3495.4036,16876726.0,
Serbia,SRB,2021,80.6,19831.297,7296771.0,
South America,,2021,,,434254167.0,
Sri Lanka,LKA,2021,32.6,13386.682,21773438.0,
Sudan,SDN,2021,62.8,3701.069,45657204.0,
Tajikistan,TJK,2021,85.5,3903.32,9750078.0,
Tonga,TON,2021,86.8,6142.857,106034.0,
Turkey,TUR,2021,95.4,31466.56,84775408.0,
Tuvalu,TUV,2021,74.6,4924.0273,11229.0,
Uganda,UGA,2021,0.7,2246.414,45853780.0,
United States,USA,2021,100.0,63669.71,336997632.0,
Uzbekistan,UZB,2021,82.8,7734.8325,34081452.0,
World,OWID_WRL,2021,71.06698,16997.135,7909295104.0,
Zimbabwe,ZWE,2021,30.3,2115.1445,15993525.0,
