Entity,Code,Year,Share of alcohol in total household consumption (World Bank Global Consumption Database)
Afghanistan,AFG,2010,0.0
Armenia,ARM,2010,0.82502705
Bangladesh,BGD,2010,0.0
Brazil,BRA,2010,0.40116945
Colombia,COL,2010,0.78224647
Congo,COG,2010,1.0721474
Cote d'Ivoire,CIV,2010,0.46910259
Egypt,EGY,2010,0.0012807865
Ethiopia,ETH,2010,0.8105759
Indonesia,IDN,2010,0.04717312
Latvia,LVA,2010,1.7668848
Liberia,LBR,2010,1.2661847
Mexico,MEX,2010,0.19682395
Nigeria,NGA,2010,0.45038036
Pakistan,PAK,2010,0.0
Peru,PER,2010,0.214572
Russia,RUS,2010,1.5360442
Senegal,SEN,2010,0.52435833
South Africa,ZAF,2010,0.58105636
Thailand,THA,2010,0.925291
