Entity,Code,Year,Deaths - Alcohol use disorders - Sex: Both - Age: Age-standardized (Rate)
Canada,CAN,1990,2.2
Canada,CAN,1995,2.23
Canada,CAN,2000,2.29
Canada,CAN,2005,2.25
Canada,CAN,2010,2.35
Canada,CAN,2015,2.53
Canada,CAN,2019,2.45
Jordan,JOR,1990,0.29
Jordan,JOR,1995,0.29
Jordan,JOR,2000,0.26
Jordan,JOR,2005,0.23
Jordan,JOR,2010,0.2
Jordan,JOR,2015,0.18
Jordan,JOR,2019,0.19
Sierra Leone,SLE,1990,1.3
Sierra Leone,SLE,1995,1.18
Sierra Leone,SLE,2000,1.15
Sierra Leone,SLE,2005,1.22
Sierra Leone,SLE,2010,1.21
Sierra Leone,SLE,2015,1.19
Sierra Leone,SLE,2019,1.18
