Entity,Code,Year,Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0,Deaths - Non-communicable diseases - Sex: Both - Age: All Ages (Rate),Population (historical estimates),Continent
Afghanistan,AFG,2019,6.0579033,344.45,37769496.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,2.5223007,392.61,42705372.0,
Argentina,ARG,2019,6.823906,620.19,44745516.0,
Armenia,ARM,2019,9.452698,860.76,2820604.0,
Asia,,2019,,,4627738749.0,
Belarus,BLR,2019,10.432098,1172.31,9673971.0,
Belgium,BEL,2019,4.402199,860.09,11510569.0,
Bosnia and Herzegovina,BIH,2019,4.0116043,1076.95,3360718.0,
Brazil,BRA,2019,6.266594,494.39,211782880.0,
Bulgaria,BGR,2019,6.993202,1704.89,7052536.0,
Burkina Faso,BFA,2019,3.648899,294.26,20951638.0,
Canada,CAN,2019,4.141899,706.35,37522584.0,
Chad,TCD,2019,3.2434998,241.49,16126868.0,
China,CHN,2019,5.517296,674.71,1421864064.0,
Cote d'Ivoire,CIV,2019,2.4277992,230.5,26147544.0,
Croatia,HRV,2019,5.730095,1148.32,4129749.0,
Denmark,DNK,2019,3.9862976,859.04,5795879.0,
Egypt,EGY,2019,4.662201,480.84,105618672.0,
Estonia,EST,2019,8.2602005,1133.17,1327039.0,
Eswatini,SWZ,2019,7.3782005,390.0,1169620.0,
Ethiopia,ETH,2019,5.7439995,203.81,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,5.892296,790.82,64399760.0,
Georgia,GEO,2019,9.935799,1254.15,3770814.0,
Germany,DEU,2019,4.8374023,1043.92,83148144.0,
Greece,GRC,2019,5.1528015,1144.59,10574026.0,
Hungary,HUN,2019,6.6364975,1250.89,9771799.0,
Iceland,ISL,2019,3.0522003,545.78,360787.0,
India,IND,2019,2.8699036,438.55,1383112064.0,
Indonesia,IDN,2019,4.1156006,511.81,269582880.0,
Iran,IRN,2019,5.6760025,387.33,86564208.0,
Ireland,IRL,2019,3.5638962,594.53,4896021.0,
Italy,ITA,2019,4.245697,994.07,59727936.0,
Japan,JPN,2019,6.0510025,936.87,125791680.0,
Kazakhstan,KAZ,2019,7.734703,643.11,18754260.0,
Kenya,KEN,2019,4.5971985,228.01,50951452.0,
Kuwait,KWT,2019,4.0167007,180.57,4441105.0,
Kyrgyzstan,KGZ,2019,8.185898,441.32,6323643.0,
Laos,LAO,2019,4.0785065,409.18,7212058.0,
Lithuania,LTU,2019,9.081001,1258.52,2849083.0,
Luxembourg,LUX,2019,4.541298,598.0,619981.0,
Malawi,MWI,2019,7.5655975,237.58,18867340.0,
Maldives,MDV,2019,1.8389053,240.6,504518.0,
Micronesia (country),FSM,2019,7.2614975,710.72,111392.0,
Moldova,MDA,2019,9.239502,1007.93,3109496.0,
Montenegro,MNE,2019,6.352104,1029.64,630403.0,
Myanmar,MMR,2019,6.226898,578.95,53040212.0,
Nepal,NPL,2019,3.5958023,452.23,28832500.0,
Netherlands,NLD,2019,3.0931015,824.24,17363260.0,
Nigeria,NGA,2019,0.51340103,225.08,203304496.0,
Niue,NIU,2019,3.2057037,1038.96,1943.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,3.5175018,677.08,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,4.500801,370.51,223293280.0,
Poland,POL,2019,7.6571045,966.05,38493600.0,
Puerto Rico,PRI,2019,8.623703,820.36,3292888.0,
Qatar,QAT,2019,2.5817032,103.56,2807242.0,
Romania,ROU,2019,7.323097,1272.27,19524212.0,
Russia,RUS,2019,9.980202,1077.08,145742288.0,
Saudi Arabia,SAU,2019,2.8398972,237.78,35827364.0,
Serbia,SRB,2019,6.0599976,1275.3,7401056.0,
Seychelles,SYC,2019,8.2061,615.45,104386.0,
Slovakia,SVK,2019,6.7451935,914.06,5453932.0,
Solomon Islands,SLB,2019,2.8675003,640.33,675000.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,7.5158005,511.98,21649664.0,
Sudan,SDN,2019,4.955799,319.6,43232092.0,
Tanzania,TZA,2019,4.1964035,258.47,59872584.0,
Thailand,THA,2019,8.794205,541.49,71307768.0,
Togo,TGO,2019,1.0922012,261.29,8243093.0,
Tokelau,TKL,2019,1.5443039,668.85,1775.0,
Tuvalu,TUV,2019,8.258003,745.92,10983.0,
Ukraine,UKR,2019,10.375999,1435.89,44211100.0,
United Kingdom,GBR,2019,3.542099,823.86,66778660.0,
United States,USA,2019,5.120903,804.72,334319680.0,
United States Virgin Islands,VIR,2019,11.360901,1108.2,100837.0,
Uruguay,URY,2019,7.716896,845.68,3428412.0,
Uzbekistan,UZB,2019,5.101097,497.46,32976946.0,
Vietnam,VNM,2019,9.518997,526.88,95776712.0,
World,OWID_WRL,2019,5.1825943,543.25,7764951040.0,
Yemen,YEM,2019,6.8198967,304.55,31546694.0,
