Entity,Code,Year,equal_access_vdem_owid,equal_access_vdem_low_owid,equal_access_vdem_high_owid
Argentina,ARG,1789,0.071,0.022,0.185
Argentina,ARG,1850,0.146,0.057,0.3
Argentina,ARG,1900,0.146,0.057,0.3
Argentina,ARG,1950,0.808,0.628,0.928
Argentina,ARG,2000,0.882,0.751,0.957
Argentina,ARG,2022,0.893,0.781,0.965
Australia,AUS,1789,0.397,0.208,0.596
Australia,AUS,1850,0.397,0.208,0.596
Australia,AUS,1900,0.636,0.441,0.81
Australia,AUS,1950,0.709,0.515,0.85
Australia,AUS,2000,0.836,0.681,0.929
Australia,AUS,2022,0.838,0.693,0.938
Botswana,BWA,1900,0.142,0.056,0.319
Botswana,BWA,1950,0.142,0.056,0.319
Botswana,BWA,2000,0.623,0.414,0.789
Botswana,BWA,2022,0.631,0.423,0.803
China,CHN,1789,0.063,0.018,0.154
China,CHN,1850,0.063,0.018,0.154
China,CHN,1900,0.063,0.018,0.154
China,CHN,1950,0.597,0.372,0.76
China,CHN,2000,0.431,0.224,0.601
China,CHN,2022,0.258,0.114,0.432
