Entity,Code,Year,"Meat of cattle with the bone, fresh or chilled | 00000867 || Yield | 005417 || kilograms per animal"
Argentina,ARG,1961,210.0
Argentina,ARG,1970,203.0
Argentina,ARG,1980,205.3
Argentina,ARG,1990,224.0
Argentina,ARG,2000,219.2
Argentina,ARG,2010,221.3
Argentina,ARG,2021,229.6
Brazil,BRA,1961,191.7
Brazil,BRA,1970,193.0
Brazil,BRA,1980,180.40001
Brazil,BRA,1990,182.90001
Brazil,BRA,2000,211.2
Brazil,BRA,2010,231.3
Brazil,BRA,2021,351.9
China,CHN,1961,85.0
China,CHN,1970,91.700005
China,CHN,1980,94.4
China,CHN,1990,142.90001
China,CHN,2000,142.3
China,CHN,2010,145.7
China,CHN,2021,148.2
United States,USA,1961,214.90001
United States,USA,1970,255.40001
United States,USA,1980,271.7
United States,USA,1990,296.7
United States,USA,2000,319.7
United States,USA,2010,335.0
United States,USA,2021,370.6
