Entity,Code,Year,Rapeseed | 00000270 || Production | 005510 || tonnes
Algeria,DZA,1980,30000.0
Algeria,DZA,1990,70000.0
Algeria,DZA,2000,29000.0
Algeria,DZA,2010,25316.44
Algeria,DZA,2021,22565.65
Czechoslovakia,OWID_CZS,1961,83870.0
Czechoslovakia,OWID_CZS,1970,62757.0
Czechoslovakia,OWID_CZS,1980,214032.0
Czechoslovakia,OWID_CZS,1990,380226.0
Estonia,EST,2000,38598.0
Estonia,EST,2010,131022.0
Estonia,EST,2021,216070.0
Serbia,SRB,2010,24399.0
Serbia,SRB,2021,73496.0
South Korea,KOR,1961,1262.0
South Korea,KOR,1970,25070.0
South Korea,KOR,1980,26476.0
South Korea,KOR,1990,6847.0
South Korea,KOR,2000,2737.0
South Korea,KOR,2010,1581.51
South Korea,KOR,2021,1000.0
United States,USA,1990,54000.0
United States,USA,2000,909026.0
United States,USA,2010,1112120.0
United States,USA,2021,1244280.0
