Entity,Code,Year,Cassava | 00000125 || Production | 005510 || tonnes
Brazil,BRA,1961,18058384.0
Brazil,BRA,1970,29464272.0
Brazil,BRA,1980,23465648.0
Brazil,BRA,1990,24322130.0
Brazil,BRA,2000,23044190.0
Brazil,BRA,2010,24967052.0
Brazil,BRA,2021,18098116.0
China,CHN,1961,940000.0
China,CHN,1970,1600000.0
China,CHN,1980,3300000.0
China,CHN,1990,3200000.0
China,CHN,2000,3800000.0
China,CHN,2010,4550000.0
China,CHN,2021,4953581.0
Kenya,KEN,1961,420000.0
Kenya,KEN,1970,510000.0
Kenya,KEN,1980,635000.0
Kenya,KEN,1990,578098.0
Kenya,KEN,2000,418621.0
Kenya,KEN,2010,323389.0
Kenya,KEN,2021,711890.0
Somalia,SOM,1961,16000.0
Somalia,SOM,1970,25000.0
Somalia,SOM,1980,35400.0
Somalia,SOM,1990,46000.0
Somalia,SOM,2000,70000.0
Somalia,SOM,2010,87187.15
Somalia,SOM,2021,96033.4
Zimbabwe,ZWE,1961,41000.0
Zimbabwe,ZWE,1970,46000.0
Zimbabwe,ZWE,1980,60000.0
Zimbabwe,ZWE,1990,95000.0
Zimbabwe,ZWE,2000,175000.0
Zimbabwe,ZWE,2010,213345.19
Zimbabwe,ZWE,2021,270497.34
