Entity,Code,Year,Low-carbon energy (% equivalent primary energy),"GDP per capita, PPP (constant 2017 international $)",Continent
Africa,,2020,10.004886,,
Africa,,2021,9.9727,,
Algeria,DZA,2020,0.30043116,10844.7705,
Algeria,DZA,2021,0.25449628,11039.806,
Argentina,ARG,2020,15.210581,19685.217,
Argentina,ARG,2021,13.89489,21527.195,
Asia,,2020,12.784812,,
Asia,,2021,13.335106,,
Australia,AUS,2020,10.834546,48747.85,
Australia,AUS,2021,12.895153,49774.34,
Austria,AUT,2020,38.186146,51988.414,
Austria,AUT,2021,36.084133,54121.145,
Azerbaijan,AZE,2020,1.9140551,13726.77,
Azerbaijan,AZE,2021,2.0616357,14431.661,
Bangladesh,BGD,2020,0.6318109,5591.374,
Bangladesh,BGD,2021,0.6982034,5911.013,
Belarus,BLR,2020,1.3419327,19225.574,
Belarus,BLR,2021,5.669104,19751.203,
Belgium,BEL,2020,23.931915,48978.934,
Belgium,BEL,2021,26.657352,51739.54,
Brazil,BRA,2020,49.73668,14021.958,
Brazil,BRA,2021,45.948105,14592.353,
Bulgaria,BGR,2020,32.983704,22483.598,
Bulgaria,BGR,2021,32.37981,24398.13,
Chile,CHL,2020,25.859335,23017.69,
Chile,CHL,2021,24.355661,25449.13,
China,CHN,2020,16.28526,16296.779,
China,CHN,2021,17.218676,17602.695,
Colombia,COL,2020,29.010368,13387.701,
Colombia,COL,2021,31.01171,14648.592,
Croatia,HRV,2020,26.004786,26950.719,
Croatia,HRV,2021,29.736883,31635.824,
Czechia,CZE,2020,24.860222,38639.98,
Czechia,CZE,2021,24.019878,40740.992,
Denmark,DNK,2020,39.665318,55518.598,
Denmark,DNK,2021,40.553944,57962.652,
Ecuador,ECU,2020,36.084644,10356.975,
Ecuador,ECU,2021,32.358585,10668.758,
Egypt,EGY,2020,6.564383,11380.847,
Egypt,EGY,2021,6.1472235,11566.05,
Estonia,EST,2020,15.223135,35883.266,
Estonia,EST,2021,14.843358,38717.695,
Europe,,2020,25.763706,,
Europe,,2021,25.110329,,
Finland,FIN,2020,52.013443,47443.902,
Finland,FIN,2021,54.21275,48753.355,
France,FRA,2020,50.99431,42233.14,
France,FRA,2021,50.04819,44993.125,
Greece,GRC,2020,17.60325,27103.541,
Greece,GRC,2021,20.097876,29548.04,
High-income countries,,2020,20.802168,47614.09,
High-income countries,,2021,20.39939,50122.207,
Hong Kong,HKG,2020,0.3168515,55888.688,
Hong Kong,HKG,2021,0.31282043,59978.15,
India,IND,2020,11.13902,6114.0317,
India,IND,2021,10.8042145,6592.042,
Indonesia,IDN,2020,10.509455,11515.74,
Indonesia,IDN,2021,11.139235,11858.146,
Ireland,IRL,2020,21.512913,91099.75,
Ireland,IRL,2021,18.401402,102496.22,
Israel,ISR,2020,4.247397,39351.895,
Israel,ISR,2021,5.197495,42061.242,
Kazakhstan,KAZ,2020,4.171065,25361.508,
Kazakhstan,KAZ,2021,4.042608,26110.53,
Latvia,LVA,2020,26.028193,30568.502,
Latvia,LVA,2021,25.439962,32081.455,
Luxembourg,LUX,2020,10.880759,111751.31,
Luxembourg,LUX,2021,10.161169,115683.49,
Malaysia,MYS,2020,7.642008,25830.973,
Malaysia,MYS,2021,8.161202,26333.156,
Morocco,MAR,2020,7.6258807,7545.995,
Morocco,MAR,2021,7.553371,8058.397,
New Zealand,NZL,2020,39.00038,41642.027,
New Zealand,NZL,2021,40.13634,42915.453,
North America,,2020,20.41801,,
North America,,2021,19.79231,,
Norway,NOR,2020,71.872536,63548.0,
Norway,NOR,2021,72.297134,65662.17,
Oceania,,2020,14.531903,,
Oceania,,2021,16.40427,,
Pakistan,PAK,2020,14.341721,5004.352,
Pakistan,PAK,2021,13.931314,5232.1426,
Philippines,PHL,2020,12.006867,7773.2603,
Philippines,PHL,2021,12.526743,8094.693,
Poland,POL,2020,7.769742,32546.826,
Poland,POL,2021,7.8930745,34915.523,
Russia,RUS,2020,13.798109,26583.797,
Russia,RUS,2021,13.00748,27960.102,
South America,,2020,39.903065,,
South America,,2021,36.626312,,
Spain,ESP,2020,32.30969,35967.89,
Spain,ESP,2021,31.804523,37913.074,
Sweden,SWE,2020,71.45022,51331.28,
Sweden,SWE,2021,73.17985,53613.42,
Switzerland,CHE,2020,55.63272,68670.24,
Switzerland,CHE,2021,52.978004,71032.84,
Trinidad and Tobago,TTO,2020,0.008875872,23391.316,
Trinidad and Tobago,TTO,2021,0.008597386,23037.143,
Uzbekistan,UZB,2020,2.4724567,7344.22,
Uzbekistan,UZB,2021,2.3471544,7734.8325,
Vietnam,VNM,2020,18.62855,10450.622,
Vietnam,VNM,2021,22.623459,10628.219,
