Entity,Code,Year,Number of states involved in conflicts - Conflict type: state-based
Africa,,1946,0
Africa,,1949,0
Africa,,1952,2
Africa,,1955,0
Africa,,1958,0
Africa,,1961,3
Africa,,1964,5
Africa,,1967,7
Africa,,1970,5
Africa,,1973,3
Africa,,1976,9
Africa,,1979,10
Africa,,1982,9
Africa,,1985,10
Africa,,1988,10
Africa,,1991,14
Africa,,1994,13
Africa,,1997,14
Africa,,2000,14
Africa,,2003,11
Africa,,2006,9
Africa,,2009,11
Africa,,2012,10
Africa,,2015,16
Africa,,2018,16
Africa,,2022,18
Americas,,1946,1
Americas,,1949,2
Americas,,1952,4
Americas,,1955,1
Americas,,1958,2
Americas,,1961,2
Americas,,1964,2
Americas,,1967,4
Americas,,1970,3
Americas,,1973,4
Americas,,1976,4
Americas,,1979,5
Americas,,1982,8
Americas,,1985,6
Americas,,1988,6
Americas,,1991,5
Americas,,1994,4
Americas,,1997,2
Americas,,2000,1
Americas,,2003,2
Americas,,2006,2
Americas,,2009,3
Americas,,2012,2
Americas,,2015,2
Americas,,2018,1
Americas,,2022,1
Asia and Oceania,,1946,3
Asia and Oceania,,1949,8
Asia and Oceania,,1952,8
Asia and Oceania,,1955,4
Asia and Oceania,,1958,9
Asia and Oceania,,1961,7
Asia and Oceania,,1964,8
Asia and Oceania,,1967,14
Asia and Oceania,,1970,12
Asia and Oceania,,1973,8
Asia and Oceania,,1976,8
Asia and Oceania,,1979,11
Asia and Oceania,,1982,9
Asia and Oceania,,1985,9
Asia and Oceania,,1988,12
Asia and Oceania,,1991,9
Asia and Oceania,,1994,9
Asia and Oceania,,1997,10
Asia and Oceania,,2000,10
Asia and Oceania,,2003,10
Asia and Oceania,,2006,9
Asia and Oceania,,2009,7
Asia and Oceania,,2012,6
Asia and Oceania,,2015,6
Asia and Oceania,,2018,7
Asia and Oceania,,2022,9
Europe,,1946,6
Europe,,1949,5
Europe,,1952,7
Europe,,1955,2
Europe,,1958,3
Europe,,1961,2
Europe,,1964,3
Europe,,1967,2
Europe,,1970,3
Europe,,1973,2
Europe,,1976,1
Europe,,1979,3
Europe,,1982,3
Europe,,1985,3
Europe,,1988,2
Europe,,1991,6
Europe,,1994,4
Europe,,1997,1
Europe,,2000,1
Europe,,2003,2
Europe,,2006,1
Europe,,2009,1
Europe,,2012,2
Europe,,2015,3
Europe,,2018,2
Europe,,2022,3
World,OWID_WRL,1946,11
World,OWID_WRL,1949,21
World,OWID_WRL,1952,24
World,OWID_WRL,1955,8
World,OWID_WRL,1958,17
World,OWID_WRL,1961,16
World,OWID_WRL,1964,22
World,OWID_WRL,1967,34
World,OWID_WRL,1970,28
World,OWID_WRL,1973,24
World,OWID_WRL,1976,25
World,OWID_WRL,1979,36
World,OWID_WRL,1982,35
World,OWID_WRL,1985,33
World,OWID_WRL,1988,34
World,OWID_WRL,1991,39
World,OWID_WRL,1994,35
World,OWID_WRL,1997,31
World,OWID_WRL,2000,29
World,OWID_WRL,2003,28
World,OWID_WRL,2006,25
World,OWID_WRL,2009,27
World,OWID_WRL,2012,25
World,OWID_WRL,2015,33
World,OWID_WRL,2018,33
World,OWID_WRL,2022,38
