Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Drug use disorders - Sex: Both - Age: Age-standardized (Rate)
Australia,AUS,1990,443.22
Australia,AUS,1995,590.24
Australia,AUS,2000,608.8
Australia,AUS,2005,540.63
Australia,AUS,2010,504.97
Australia,AUS,2015,557.65
Australia,AUS,2019,609.18
Barbados,BRB,1990,124.21
Barbados,BRB,1995,130.48
Barbados,BRB,2000,134.67
Barbados,BRB,2005,129.84
Barbados,BRB,2010,125.52
Barbados,BRB,2015,116.73
Barbados,BRB,2019,119.77
Chile,CHL,1990,129.25
Chile,CHL,1995,132.55
Chile,CHL,2000,137.66
Chile,CHL,2005,149.45
Chile,CHL,2010,152.04
Chile,CHL,2015,142.79
Chile,CHL,2019,152.7
