Entity,Code,Year,GDP per person employed (constant 2017 PPP $)
Albania,ALB,1991,8868.367
Albania,ALB,1995,12218.654
Albania,ALB,2000,17055.756
Albania,ALB,2005,22755.658
Albania,ALB,2010,28690.676
Albania,ALB,2015,31588.42
Albania,ALB,2021,33603.785
Armenia,ARM,1991,12220.92
Armenia,ARM,1995,8372.509
Armenia,ARM,2000,11308.555
Armenia,ARM,2005,19538.404
Armenia,ARM,2010,24639.26
Armenia,ARM,2015,30801.102
Armenia,ARM,2021,43431.56
Botswana,BWA,1991,34206.867
Botswana,BWA,1995,37757.93
Botswana,BWA,2000,38928.363
Botswana,BWA,2005,41806.793
Botswana,BWA,2010,39984.59
Botswana,BWA,2015,43836.863
Botswana,BWA,2021,48582.426
Cyprus,CYP,1991,42231.723
Cyprus,CYP,1995,49333.594
Cyprus,CYP,2000,54152.15
Cyprus,CYP,2005,56051.39
Cyprus,CYP,2010,56363.555
Cyprus,CYP,2015,55519.25
Cyprus,CYP,2021,61055.39
Ecuador,ECU,1991,22161.266
Ecuador,ECU,1995,22298.34
Ecuador,ECU,2000,20259.7
Ecuador,ECU,2005,22200.93
Ecuador,ECU,2010,25024.488
Ecuador,ECU,2015,26509.152
Ecuador,ECU,2021,23794.775
Gabon,GAB,1991,76670.62
Gabon,GAB,1995,75272.05
Gabon,GAB,2000,65774.164
Gabon,GAB,2005,60226.336
Gabon,GAB,2010,56339.79
Gabon,GAB,2015,61164.93
Gabon,GAB,2021,57911.0
Moldova,MDA,1995,13712.38
Moldova,MDA,2000,11882.867
Moldova,MDA,2005,19812.357
Moldova,MDA,2010,27066.809
Moldova,MDA,2015,29864.37
Moldova,MDA,2021,47096.9
Saudi Arabia,SAU,1991,157812.7
Saudi Arabia,SAU,1995,141831.92
Saudi Arabia,SAU,2000,133586.25
Saudi Arabia,SAU,2005,139475.53
Saudi Arabia,SAU,2010,119612.17
Saudi Arabia,SAU,2015,128168.53
Saudi Arabia,SAU,2021,107139.4
Thailand,THA,1991,15061.755
Thailand,THA,1995,18567.33
Thailand,THA,2000,18179.678
Thailand,THA,2005,21390.807
Thailand,THA,2010,24680.59
Thailand,THA,2015,28003.516
Thailand,THA,2021,30843.277
Trinidad and Tobago,TTO,1991,31800.154
Trinidad and Tobago,TTO,1995,33231.402
Trinidad and Tobago,TTO,2000,40562.223
Trinidad and Tobago,TTO,2005,50887.82
Trinidad and Tobago,TTO,2010,59094.17
Trinidad and Tobago,TTO,2015,64159.47
Trinidad and Tobago,TTO,2021,52523.31
