Entity,Code,Year,Deaths - Poisonings - Sex: Both - Age: Age-standardized (Rate)
Guinea,GIN,1990,3.0
Guinea,GIN,1995,3.07
Guinea,GIN,2000,3.11
Guinea,GIN,2005,3.07
Guinea,GIN,2010,2.94
Guinea,GIN,2015,2.85
Guinea,GIN,2019,2.53
United States Virgin Islands,VIR,1990,0.88
United States Virgin Islands,VIR,1995,0.8
United States Virgin Islands,VIR,2000,0.56
United States Virgin Islands,VIR,2005,0.38
United States Virgin Islands,VIR,2010,0.29
United States Virgin Islands,VIR,2015,0.28
United States Virgin Islands,VIR,2019,0.28
