Entity,Code,Year,elect_freefair_eiu
Argentina,ARG,2006,8.75
Argentina,ARG,2008,8.75
Argentina,ARG,2010,8.75
Argentina,ARG,2012,8.75
Argentina,ARG,2014,8.75
Argentina,ARG,2016,9.17
Argentina,ARG,2018,9.17
Argentina,ARG,2020,9.17
Argentina,ARG,2022,9.17
Australia,AUS,2006,10.0
Australia,AUS,2008,10.0
Australia,AUS,2010,10.0
Australia,AUS,2012,10.0
Australia,AUS,2014,9.58
Australia,AUS,2016,9.58
Australia,AUS,2018,10.0
Australia,AUS,2020,10.0
Australia,AUS,2022,10.0
Botswana,BWA,2006,9.17
Botswana,BWA,2008,9.17
Botswana,BWA,2010,9.17
Botswana,BWA,2012,9.17
Botswana,BWA,2014,9.17
Botswana,BWA,2016,9.17
Botswana,BWA,2018,9.17
Botswana,BWA,2020,9.17
Botswana,BWA,2022,9.17
China,CHN,2006,0.0
China,CHN,2008,0.0
China,CHN,2010,0.0
China,CHN,2012,0.0
China,CHN,2014,0.0
China,CHN,2016,0.0
China,CHN,2018,0.0
China,CHN,2020,0.0
China,CHN,2022,0.0
