Entity,Code,Year,"Automated teller machines (ATMs) (per 100,000 adults)"
Brunei,BRN,2004,34.962997
Brunei,BRN,2006,46.566555
Brunei,BRN,2008,71.516365
Brunei,BRN,2010,82.016205
Brunei,BRN,2012,92.692055
Brunei,BRN,2014,81.75056
Brunei,BRN,2016,76.36216
Brunei,BRN,2018,74.50346
Brunei,BRN,2020,75.03995
Brunei,BRN,2021,73.0973
Cape Verde,CPV,2004,13.2423315
Cape Verde,CPV,2006,20.157497
Cape Verde,CPV,2008,34.47774
Cape Verde,CPV,2010,42.284946
Cape Verde,CPV,2012,46.49294
Cape Verde,CPV,2014,47.33079
Cape Verde,CPV,2016,45.717037
Cape Verde,CPV,2018,49.318195
Cape Verde,CPV,2020,49.767666
Cape Verde,CPV,2021,51.174805
Kenya,KEN,2004,1.6095212
Kenya,KEN,2006,2.9194024
Kenya,KEN,2008,5.9193745
Kenya,KEN,2010,8.796067
Kenya,KEN,2012,9.39426
Kenya,KEN,2014,9.635785
Kenya,KEN,2016,9.162254
Kenya,KEN,2018,9.154215
Kenya,KEN,2020,7.3044057
Kenya,KEN,2021,6.938732
Laos,LAO,2008,2.63655
Laos,LAO,2010,8.709937
Laos,LAO,2012,12.899937
Laos,LAO,2014,19.75198
Laos,LAO,2016,23.946806
Laos,LAO,2018,25.739767
Laos,LAO,2020,27.387205
Laos,LAO,2021,28.061247
Netherlands,NLD,2004,59.37553
Netherlands,NLD,2006,60.720676
Netherlands,NLD,2008,64.08875
Netherlands,NLD,2010,57.78603
Netherlands,NLD,2012,54.556202
Netherlands,NLD,2014,53.648994
Netherlands,NLD,2016,47.51079
Netherlands,NLD,2018,41.083496
Netherlands,NLD,2020,36.02692
Netherlands,NLD,2021,33.198696
United Kingdom,GBR,2006,120.93796
United Kingdom,GBR,2008,125.56229
United Kingdom,GBR,2010,121.9212
United Kingdom,GBR,2012,125.92341
United Kingdom,GBR,2014,129.51353
United Kingdom,GBR,2016,129.4971
United Kingdom,GBR,2018,115.442055
United Kingdom,GBR,2020,98.82493
United Kingdom,GBR,2021,96.27978
