Entity,Code,Year,"Current number of cases of idiopathic developmental intellectual disability per 100 people, in males aged age-standardized","Current number of cases of idiopathic developmental intellectual disability per 100 people, in females aged age-standardized",Continent
Afghanistan,AFG,2019,4.033791,3.483284,
African Region (WHO),,2019,0.8478348,0.74834126,
Algeria,DZA,2019,1.6610358,1.4746903,
American Samoa,ASM,2019,0.44130874,0.5184835,
Andorra,AND,2019,0.21164446,0.29887056,
Armenia,ARM,2019,0.6643884,0.69722134,
Bhutan,BTN,2019,1.4855046,1.2638977,
Brunei,BRN,2019,0.1029104,0.08316939,
Cambodia,KHM,2019,1.1050861,1.623339,
Eastern Mediterranean Region (WHO),,2019,2.3317852,1.9108146,
Egypt,EGY,2019,2.1381357,1.6531656,
Ethiopia,ETH,2019,1.0532935,0.94848907,
G20,,2019,1.6139494,1.6868702,
India,IND,2019,4.0377526,4.2430778,
Indonesia,IDN,2019,0.6929505,1.1022259,
Japan,JPN,2019,0.34167033,0.11079398,
Liberia,LBR,2019,1.2926325,1.113562,
Morocco,MAR,2019,1.9608796,1.7409159,
Nepal,NPL,2019,2.7150242,2.3078482,
Pakistan,PAK,2019,2.7422893,1.9280704,
Somalia,SOM,2019,3.3935206,2.9008842,
South Asia (WB),,2019,3.529701,3.5225387,
South-East Asia Region (WHO),,2019,3.092117,3.2236109,
Spain,ESP,2019,1.1399871,1.3782039,
Sudan,SDN,2019,3.2314465,2.7763736,
Thailand,THA,2019,1.0959477,0.653648,
Vanuatu,VUT,2019,1.3119181,1.3324679,
Vietnam,VNM,2019,0.31281003,1.2955859,
Yemen,YEM,2019,3.6632853,3.215401,
