Entity,Code,Year,polrights_score_fh
Guyana,GUY,2005,29
Guyana,GUY,2008,31
Guyana,GUY,2010,31
Guyana,GUY,2012,31
Guyana,GUY,2014,30
Guyana,GUY,2016,32
Guyana,GUY,2018,32
Guyana,GUY,2020,30
Guyana,GUY,2022,30
Philippines,PHL,2005,29
Philippines,PHL,2008,22
Philippines,PHL,2010,25
Philippines,PHL,2012,26
Philippines,PHL,2014,26
Philippines,PHL,2016,27
Philippines,PHL,2018,26
Philippines,PHL,2020,25
Philippines,PHL,2022,25
Samoa,WSM,2005,32
Samoa,WSM,2008,32
Samoa,WSM,2010,32
Samoa,WSM,2012,32
Samoa,WSM,2014,32
Samoa,WSM,2016,30
Samoa,WSM,2018,30
Samoa,WSM,2020,30
Samoa,WSM,2022,31
Tonga,TON,2005,15
Tonga,TON,2008,15
Tonga,TON,2010,29
Tonga,TON,2012,29
Tonga,TON,2014,31
Tonga,TON,2016,30
Tonga,TON,2018,30
Tonga,TON,2020,30
Tonga,TON,2022,31
