Entity,Code,Year,Trade in services (% of GDP)
East Asia and Pacific (WB),,2000,8.303485
East Asia and Pacific (WB),,2010,9.767525
East Asia and Pacific (WB),,2021,8.096468
Europe and Central Asia (WB),,1980,9.919942
Europe and Central Asia (WB),,1990,9.923318
Europe and Central Asia (WB),,2000,14.838569
Europe and Central Asia (WB),,2010,17.986723
Europe and Central Asia (WB),,2021,23.415417
Latin America and Caribbean (WB),,1980,6.291791
Latin America and Caribbean (WB),,1990,6.606578
Latin America and Caribbean (WB),,2000,6.04894
Latin America and Caribbean (WB),,2010,5.7026434
Latin America and Caribbean (WB),,2021,6.8105407
Middle East and North Africa (WB),,1980,15.274767
Middle East and North Africa (WB),,2000,13.769118
Middle East and North Africa (WB),,2010,16.824072
Middle East and North Africa (WB),,2021,15.643255
North America (WB),,1970,2.7455838
North America (WB),,1980,3.405467
North America (WB),,1990,4.7521834
North America (WB),,2000,5.4757857
North America (WB),,2010,7.174956
North America (WB),,2021,6.1485043
Sub-Saharan Africa (WB),,1980,10.059833
Sub-Saharan Africa (WB),,1990,8.525317
Sub-Saharan Africa (WB),,2000,10.673793
Sub-Saharan Africa (WB),,2010,10.612904
Sub-Saharan Africa (WB),,2021,8.410702
World,OWID_WRL,1980,7.4851933
World,OWID_WRL,1990,7.700818
World,OWID_WRL,2000,9.2344265
World,OWID_WRL,2010,11.704275
World,OWID_WRL,2021,11.889974
