Entity,Code,Year,"Physicians (per 1,000 people)"
Comoros,COM,1990,0.113
Gambia,GMB,1960,0.043
Gambia,GMB,1970,0.041
Gambia,GMB,2019,0.1073
Liberia,LBR,1960,0.077
Liberia,LBR,1970,0.079
Liberia,LBR,2010,0.0231
Mozambique,MOZ,1960,0.043
Mozambique,MOZ,1970,0.053
Mozambique,MOZ,1980,0.025
Mozambique,MOZ,1990,0.012
Mozambique,MOZ,2000,0.024
Mozambique,MOZ,2010,0.0487
Mozambique,MOZ,2019,0.0846
United Arab Emirates,ARE,1970,0.909
United Arab Emirates,ARE,1980,1.068
United Arab Emirates,ARE,2000,1.8015
United Arab Emirates,ARE,2010,1.4195
Uruguay,URY,1960,1.064
Uruguay,URY,1970,1.093
Uruguay,URY,1990,3.68
