Entity,Code,Year,DTP3 (% of one-year-olds immunized),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,66.0,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Algeria,DZA,2021,91.0,11039.806,44177964.0,
Angola,AGO,2021,45.0,5908.57,34503776.0,
Asia,,2021,,,4693332132.0,
Austria,AUT,2021,85.0,54121.145,8922086.0,
Bangladesh,BGD,2021,98.0,5911.013,169356240.0,
Benin,BEN,2021,76.0,3321.5522,12996901.0,
Bolivia,BOL,2021,70.0,8052.1772,12079474.0,
Burundi,BDI,2021,94.0,705.0304,12551215.0,
Cameroon,CMR,2021,69.0,3700.4644,27198632.0,
Canada,CAN,2021,92.0,47892.945,38155012.0,
China,CHN,2021,99.0,17602.695,1425893504.0,
Colombia,COL,2021,86.0,14648.592,51516560.0,
Cote d'Ivoire,CIV,2021,76.0,5325.0303,27478250.0,
Ecuador,ECU,2021,72.0,10668.758,17797736.0,
Egypt,EGY,2021,96.0,11566.05,109262184.0,
Equatorial Guinea,GNQ,2021,53.0,14637.008,1634473.0,
Ethiopia,ETH,2021,65.0,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
Guinea,GIN,2021,47.0,2640.3442,13531909.0,
Haiti,HTI,2021,51.0,2870.145,11447575.0,
India,IND,2021,85.0,6592.042,1407563904.0,
Indonesia,IDN,2021,67.0,11858.146,273753184.0,
Iran,IRN,2021,98.0,15004.6875,87923432.0,
Iraq,IRQ,2021,78.0,8962.395,43533592.0,
Japan,JPN,2021,96.0,40784.383,124612528.0,
Kenya,KEN,2021,91.0,4743.4863,53005616.0,
Libya,LBY,2021,73.0,21965.174,6735280.0,
Madagascar,MDG,2021,55.0,1463.6288,28915652.0,
Malawi,MWI,2021,93.0,1491.1339,19889742.0,
Mali,MLI,2021,77.0,2120.6233,21904990.0,
Mauritania,MRT,2021,68.0,5307.522,4614981.0,
Mexico,MEX,2021,78.0,19086.105,126705136.0,
Montenegro,MNE,2021,83.0,20602.5,627856.0,
Mozambique,MOZ,2021,61.0,1226.767,32077074.0,
Myanmar,MMR,2021,37.0,4032.6257,53798088.0,
Nepal,NPL,2021,91.0,3831.9485,30034988.0,
Niger,NER,2021,82.0,1186.5768,25252722.0,
Nigeria,NGA,2021,56.0,4922.6323,213401328.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,83.0,5232.1426,231402112.0,
Panama,PAN,2021,74.0,29037.945,4351264.0,
Papua New Guinea,PNG,2021,31.0,3677.4602,9949438.0,
Philippines,PHL,2021,57.0,8094.693,113880336.0,
Romania,ROU,2021,86.0,30776.93,19328558.0,
Russia,RUS,2021,97.0,27960.102,145102752.0,
Serbia,SRB,2021,92.0,19831.297,7296771.0,
Somalia,SOM,2021,42.0,1136.736,17065588.0,
South America,,2021,,,434254167.0,
Spain,ESP,2021,92.0,37913.074,47486932.0,
Sudan,SDN,2021,84.0,3701.069,45657204.0,
Suriname,SUR,2021,72.0,14766.748,612989.0,
Tajikistan,TJK,2021,97.0,3903.32,9750078.0,
Tanzania,TZA,2021,81.0,2581.6997,63588332.0,
Uganda,UGA,2021,91.0,2246.414,45853780.0,
Ukraine,UKR,2021,78.0,12943.614,43531424.0,
United States,USA,2021,93.0,63669.71,336997632.0,
Vanuatu,VUT,2021,62.0,2783.0195,319146.0,
Vietnam,VNM,2021,83.0,10628.219,97468024.0,
Zimbabwe,ZWE,2021,86.0,2115.1445,15993525.0,
