Entity,Code,Year,Number of ongoing wars per state - Conflict type: intra-state (internationalized),Number of ongoing wars per state - Conflict type: intra-state (non-internationalized),Number of ongoing wars per state - Conflict type: non-state,Number of ongoing wars per state - Conflict type: extra-state,Number of ongoing wars per state - Conflict type: inter-state
World,OWID_WRL,1816,0.0,0.0,0.0,0.08695652,0.0
World,OWID_WRL,1824,0.041666668,0.041666668,0.083333336,0.125,0.0
World,OWID_WRL,1832,0.03448276,0.1724138,0.03448276,0.03448276,0.0
World,OWID_WRL,1840,0.0625,0.15625,0.0625,0.09375,0.0
World,OWID_WRL,1848,0.025641026,0.23076923,0.025641026,0.07692308,0.051282052
World,OWID_WRL,1856,0.0,0.069767445,0.1627907,0.11627907,0.046511628
World,OWID_WRL,1864,0.024390243,0.2195122,0.048780486,0.09756097,0.07317073
World,OWID_WRL,1872,0.0,0.18181819,0.060606062,0.09090909,0.0
World,OWID_WRL,1880,0.0,0.027027028,0.0,0.08108108,0.027027028
World,OWID_WRL,1888,0.0,0.0,0.078947365,0.05263158,0.0
World,OWID_WRL,1896,0.0,0.15384616,0.0,0.12820514,0.0
World,OWID_WRL,1904,0.0,0.045454547,0.0,0.11363637,0.022727273
World,OWID_WRL,1912,0.0,0.06666667,0.0,0.044444446,0.044444446
World,OWID_WRL,1920,0.050847456,0.118644066,0.0,0.084745765,0.10169491
World,OWID_WRL,1928,0.015625,0.0625,0.0,0.015625,0.0
World,OWID_WRL,1936,0.015151516,0.015151516,0.0,0.030303031,0.015151516
World,OWID_WRL,1944,0.01724138,0.01724138,0.0,0.0,0.01724138
World,OWID_WRL,1952,0.0,0.051948052,0.0,0.051948052,0.012987013
World,OWID_WRL,1960,0.028037382,0.037383176,0.009345794,0.009345794,0.0
World,OWID_WRL,1968,0.037593983,0.030075189,0.007518797,0.015037594,0.015037594
World,OWID_WRL,1976,0.03311258,0.03311258,0.0,0.01986755,0.0066225166
World,OWID_WRL,1984,0.031055901,0.055900622,0.0,0.01863354,0.0062111802
World,OWID_WRL,1992,0.049723756,0.09392265,0.0,0.005524862,0.005524862
World,OWID_WRL,2007,0.010362694,0.015544041,0.0,0.010362694,0.0
