Entity,Code,Year,Cobalt production-reserves - kt
Australia,AUS,1995,824.0
Australia,AUS,2000,3598.48
Australia,AUS,2005,4110.0
Australia,AUS,2010,3850.0
Australia,AUS,2015,6030.0
Australia,AUS,2020,5600.0
Australia,AUS,2022,5900.0
Canada,CAN,1995,5339.0
Canada,CAN,2000,5298.0
Canada,CAN,2005,5767.0
Canada,CAN,2010,4636.0
Canada,CAN,2015,4339.0
Canada,CAN,2020,4474.0
Canada,CAN,2022,3900.0
China,CHN,1995,980.0
China,CHN,2000,90.0
China,CHN,2005,2100.0
China,CHN,2010,1500.0
China,CHN,2015,2600.0
China,CHN,2020,2200.0
China,CHN,2022,2200.0
Cuba,CUB,1995,1591.0
Cuba,CUB,2000,2852.0
Cuba,CUB,2005,4798.0
Cuba,CUB,2010,4800.0
Cuba,CUB,2015,4000.0
Cuba,CUB,2020,3793.2465
Cuba,CUB,2022,3790.9954
Democratic Republic of Congo,COD,1995,1670.0
Democratic Republic of Congo,COD,2000,11000.0
Democratic Republic of Congo,COD,2005,24500.0
Democratic Republic of Congo,COD,2010,84005.0
Democratic Republic of Congo,COD,2015,84400.475
Democratic Republic of Congo,COD,2020,86591.0
Democratic Republic of Congo,COD,2022,111309.0
Madagascar,MDG,2010,165.0
Madagascar,MDG,2015,4000.0
Madagascar,MDG,2020,833.0
Madagascar,MDG,2022,2400.0
Morocco,MAR,1995,537.0
Morocco,MAR,2000,967.0
Morocco,MAR,2005,1600.0
Morocco,MAR,2010,3110.0
Morocco,MAR,2015,2250.0
Morocco,MAR,2020,2300.0
Morocco,MAR,2022,2300.0
New Caledonia,NCL,1995,1100.0
New Caledonia,NCL,2000,1200.0
New Caledonia,NCL,2005,1769.0
New Caledonia,NCL,2010,2850.0
New Caledonia,NCL,2015,3640.0
New Caledonia,NCL,2020,2197.0
New Caledonia,NCL,2022,1950.0
Papua New Guinea,PNG,2010,0.0
Papua New Guinea,PNG,2015,2505.0
Papua New Guinea,PNG,2020,2940.0
Papua New Guinea,PNG,2022,3000.0
Philippines,PHL,2005,300.0
Philippines,PHL,2010,2100.0
Philippines,PHL,2015,4300.0
Philippines,PHL,2020,4922.5044
Philippines,PHL,2022,4650.777
Russia,RUS,1995,3500.0
Russia,RUS,2000,4000.0
Russia,RUS,2005,6300.0
Russia,RUS,2010,6200.0
Russia,RUS,2015,6200.0
Russia,RUS,2020,9700.0
Russia,RUS,2022,8900.0
South Africa,ZAF,1995,288.0
South Africa,ZAF,2000,580.0
South Africa,ZAF,2005,620.0
South Africa,ZAF,2010,1800.0
South Africa,ZAF,2015,2900.0
South Africa,ZAF,2020,1800.0
South Africa,ZAF,2022,1000.0
World,OWID_WRL,1995,20654.0
World,OWID_WRL,2000,34799.48
World,OWID_WRL,2005,60607.0
World,OWID_WRL,2010,129461.99
World,OWID_WRL,2015,137217.47
World,OWID_WRL,2020,131352.75
World,OWID_WRL,2022,166222.75999999998
Zambia,ZMB,1995,2931.0
Zambia,ZMB,2000,2877.0
Zambia,ZMB,2005,5529.0
Zambia,ZMB,2010,8648.0
Zambia,ZMB,2015,2979.0
Zambia,ZMB,2020,287.0
Zambia,ZMB,2022,247.0
