Entity,Code,Year,"Deaths that are from all causes attributed to high body-mass index per 100,000 people, in both sexes aged age-standardized","Prevalence of obesity among adults, BMI >= 30 (crude estimate) (%) - Sex: both sexes - Age group: 18+  years",Continent
Afghanistan,AFG,2016,171.78847,4.5,
Albania,ALB,2016,73.85599,22.3,
Algeria,DZA,2016,123.926445,26.6,
Andorra,AND,2016,37.650806,28.0,
Angola,AGO,2016,57.653473,6.8,
Antigua and Barbuda,ATG,2016,92.05879,19.1,
Argentina,ARG,2016,67.264824,28.5,
Armenia,ARM,2016,110.722885,20.9,
Austria,AUT,2016,45.633926,21.9,
Azerbaijan,AZE,2016,191.48747,19.9,
Bahamas,BHS,2016,113.8392,32.1,
Bahrain,BHR,2016,161.1319,28.7,
Bangladesh,BGD,2016,30.508831,3.4,
Belgium,BEL,2016,32.934456,24.5,
Benin,BEN,2016,83.1016,8.2,
Botswana,BWA,2016,166.52348,16.1,
Brunei,BRN,2016,73.70197,14.7,
Cameroon,CMR,2016,121.46135,9.5,
Canada,CAN,2016,39.85132,31.3,
Cook Islands,COK,2016,185.69151,55.3,
Costa Rica,CRI,2016,53.186104,25.7,
Croatia,HRV,2016,86.396935,27.1,
Djibouti,DJI,2016,57.591328,12.2,
Dominican Republic,DOM,2016,99.54919,26.9,
Egypt,EGY,2016,223.24496,31.1,
Eswatini,SWZ,2016,247.16367,13.5,
Fiji,FJI,2016,317.04584,30.0,
Georgia,GEO,2016,138.41673,23.3,
Guinea,GIN,2016,70.20563,6.6,
India,IND,2016,48.50276,3.8,
Japan,JPN,2016,12.787489,4.4,
Jordan,JOR,2016,135.32361,33.4,
Kazakhstan,KAZ,2016,153.92123,21.3,
Kiribati,KIR,2016,279.19983,45.6,
Kuwait,KWT,2016,89.95852,37.0,
Kyrgyzstan,KGZ,2016,106.74657,15.4,
Laos,LAO,2016,72.75066,4.5,
Lesotho,LSO,2016,197.08643,13.5,
Mauritania,MRT,2016,90.164925,11.3,
Nauru,NRU,2016,294.31537,60.7,
Niue,NIU,2016,210.5229,49.3,
Palau,PLW,2016,218.71327,54.9,
Peru,PER,2016,44.252277,19.1,
Qatar,QAT,2016,225.98965,33.9,
Romania,ROU,2016,111.9529,24.5,
Samoa,WSM,2016,187.96178,45.5,
Saudi Arabia,SAU,2016,165.2219,35.0,
Serbia,SRB,2016,126.22414,23.5,
Solomon Islands,SLB,2016,248.44048,20.5,
Thailand,THA,2016,41.285065,10.8,
Tonga,TON,2016,145.01839,45.9,
Tuvalu,TUV,2016,184.78357,51.0,
United Arab Emirates,ARE,2016,208.40855,29.9,
United States,USA,2016,68.79601,37.3,
